R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R7*;S17 + S100 -> S13;N2O + C6H6N10O10 -> C6H6N12O11;[N]N=O,[O]N([N]/C=C/N([C@H]1[CH]N([C@H](N1N([O])[O])/C=N/N([O])[O])N([O])[O])N([O])[O])[O]:O=N[N][C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N/N([O])[O];0.000000e+00;0.000000e+00;2.097709e+11;0
R8;S14 -> S17 + S31;C6H6N12O11 -> N2O + C6H6N10O10;O=N[N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O]:[N]N=O,[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R8*;S17 + S31 -> S14;N2O + C6H6N10O10 -> C6H6N12O11;[N]N=O,[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[O]:O=N[N][C@H]1N(N([O])[O])[C@H]2N(N([O])[O])[C@H]3[CH]N([C@H]1N([C@H]2N3N([O])[O])N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;1.534039e+10;0
R9;S16 -> S17 + S62 + S103;C6H6N14O13 -> N2O + C4H4N8O8 + C2H2N4O4;[N]=NON([C@H]1[CH]N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O]:[N]N=O,[O]N(/N=C\[C@H]1N([CH][C@H](N1N([O])[O])[N]N([O])[O])N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O];1.111111e+12;4.707037e+10;5.294631e+12;1
R9*;S17 + S62 + S103 -> S16;N2O + C4H4N8O8 + C2H2N4O4 -> C6H6N14O13;[N]N=O,[O]N(/N=C\[C@H]1N([CH][C@H](N1N([O])[O])[N]N([O])[O])N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O]:[N]=NON([C@H]1[CH]N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;2.757327e+10;0
R10;S17 + S122 -> S16;N2O + C6H6N12O12 -> C6H6N14O13;[N]N=O,[O]N([N][C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N\N([O])[O])[O]:[N]=NON([C@H]1[CH]N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O];8.204360e+09;3.475640e+08;3.909515e+10;1
R10*;S16 -> S17 + S122;C6H6N14O13 -> N2O + C6H6N12O12;[N]=NON([C@H]1[CH]N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(N([O])[O])[C@H](N2N([O])[O])/C=N\N([O])[O])N([O])[O]:[N]N=O,[O]N([N][C@H]1N(N([O])[O])[C@H](N([C@H]1N(N([O])[O])/C=C/[N]N([O])[O])N([O])[O])/C=N\N([O])[O])[O];0.000000e+00;0.000000e+00;3.328591e+12;0
R11;S18 -> S0 + S136;C2H2N5O6 -> C2H2N4O3 + NO3;[O]N(/N=C/C=N\N(ON([O])[O])[O])[O]:O=N/N=C\C=N\N([O])[O],[O]N([O])[O];2.500000e+12;1.059083e+11;1.191292e+13;1
R11*;S0 + S136 -> S18;C2H2N4O3 + NO3 -> C2H2N5O6;O=N/N=C\C=N\N([O])[O],[O]N([O])[O]:[O]N(/N=C/C=N\N(ON([O])[O])[O])[O];0.000000e+00;0.000000e+00;9.395989e+10;0
R12;S19 + S91 -> S37 + S45 + S103;C2H2N4O4 + C10H10N20O20 -> C6H6N12O12 + C4H4N8O8 + C2H2N4O4;[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N]/C=C/N([C@H](N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])/C=N/N([O])[O])N([O])[O])[O]:[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N([CH][C@H](N2N([O])[O])[N]N([O])[O])N([O])[O])[O],[O]N(/N=C/[CH]N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O];6.022000e+12;2.551120e+11;2.869584e+13;1
R12*;S37 + S45 + S103 -> S19 + S91;C6H6N12O12 + C4H4N8O8 + C2H2N4O4 -> C2H2N4O4 + C10H10N20O20;[O]N(/N=C/[C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N([CH][C@H](N2N([O])[O])[N]N([O])[O])N([O])[O])[O],[O]N(/N=C/[CH]N([C@H]([N]N([O])[O])/C=N/N([O])[O])N([O])[O])[O],[O]N([N]/C=C/[N]N([O])[O])[O]:[O]N(/N=C/C=N\N([O])[O])[O],[O]N([N]/C=C/N([C@H](N(N([O])[O])ON(N1[C@H]([N]N([O])[O])[C@H]2N([CH][C@H]3N([C@H]1[C@H](N2N([O])[O])N3N([O])[O])N([O])[O])N([O])[O])[O])/C=N/N([O])[O])N([O])[O])[O];0.000000e+00;0.000000e+00;2.011828e+11;0
