t [steps];R0;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;R31;R32;R33;R34;R35;R36;R37;R38;R39;R40;R41;R42;R43;R44;R45;R46;R47;R48;R49;R50;R51;R52;R53;R54;R55;R56;R57;R58;R59;R60;R61;R62;R63;R64;R65;R66;R67;R68;R69;R70;R71;R72;R73;R74;R75;R76;R77;R78;R79;R80;R81;R82;R83;R84;R85;R86;R87;R88;R89;R90;R91;R92;R93;R94;R95;R96;R97;R98;R99;R100;R101;R102;R103;R104;R105;R106;R107;R108;R109;R110;R111;R112;R113;R114;R115;R116;R117;R118;R119;R120;R121;R122;R123;R124;R125;R126;R127;R128;R129;R130;R131;R132;R133;R134;R135;R136;R137;R138;R139;R140;R141;R142;R143;R144;R145;R146;R147;R148;R149;R150;R151;R152;R153;R154;R155;R156;R157;R158;R159;R160;R161;R162;R163;R164;R165;R166;R167;R168;R169;R170;R171;R172;R173;R174;R175;R176;R177;R178;R179;R180;R181;R182;R183;R184;R185;R186;R187;R188;R189;R190;R191;R192;R193;R194;R195;R196;R197;R198;R199;R200;R201;R202;R203;R204;R205;R206;R207;R208;R209;R210;R211;R212;R213;R214;R215;R216
;S2 -> S7;S5 + S138 -> S4;S6 -> S9;S7 -> S13;S9 -> S2;S10 -> S6;S12 -> S1;S13 -> S17 + S100;S14 -> S17 + S31;S16 -> S17 + S62 + S103;S17 + S122 -> S16;S18 -> S0 + S136;S19 + S91 -> S37 + S45 + S103;S19 + S111 + S128 -> S22;S19 + S111 -> S45 + S103;S19 + S111 -> S103 + S111;S19 + S112 -> S94;S19 + S113 -> S104;S19 + S138 -> S18;S20 -> S21 + S138;S22 -> S24 + S128;S23 -> S22;S24 + S128 -> S19 + S91;S24 -> S19 + S111;S25 + S128 -> S23;S25 -> S30;S26 -> S56;S27 -> S19 + S113;S27 -> S55 + S138;S27 -> S118;S27 -> S122;S28 -> S26;S29 -> S127;S31 -> S99;S32 -> S123;S32 -> S125;S33 -> S126;S34 -> S3 + S5 + S31 + S138;S35 -> S50 + S137;S36 -> S3 + S31;S37 + S54 -> S107;S37 + S137 -> S49;S37 -> S25;S37 -> S30;S37 -> S32 + S138;S37 -> S50;S37 -> S64;S37 -> S121;S38 + S138 -> S30;S39 + S138 -> S82;S40 -> S42;S40 -> S122;S41 -> S111;S42 -> S43 + S138;S42 -> S95;S43 + S138 -> S40;S43 + S138 -> S103 + S112;S45 + S103 -> S24;S46 -> S15 + S138;S47 -> S51;S49 -> S35;S50 -> S48;S50 -> S103 + S111;S51 -> S46;S52 -> S53;S53 -> S60 + S138;S53 -> S85;S55 + S138 -> S71;S55 + S138 -> S130;S56 -> S58 + S121;S57 -> S81;S58 + S78 -> S132;S58 + S121 -> S28;S58 -> S27;S58 -> S40;S58 -> S55 + S138;S58 -> S59;S58 -> S118;S58 -> S120;S58 -> S122;S58 -> S134 + S138;S59 -> S3 + S4;S61 -> S94;S62 + S103 -> S96;S62 -> S112;S63 -> S47;S64 -> S58;S64 -> S61;S65 -> S63 + S138;S67 -> S66;S69 -> S32;S71 -> S122;S72 -> S117;S73 -> S11 + S79;S75 -> S53;S76 -> S3 + S12;S78 + S78 -> S80;S78 + S138 -> S89;S78 -> S37;S78 -> S58;S78 -> S124;S78 -> S128;S78 -> S130;S78 -> S131;S79 -> S3 + S82;S80 -> S10 + S81;S81 -> S3 + S39 + S138;S81 -> S3 + S54;S81 -> S36;S82 -> S31;S82 -> S54;S82 -> S77;S84 -> S74;S85 -> S38 + S138;S85 -> S52;S85 -> S75;S85 -> S133;S86 -> S84;S87 -> S83 + S138;S88 -> S14 + S136;S92 -> S19 + S101 + S138;S93 -> S19 + S111;S93 -> S72;S93 -> S108 + S138;S94 -> S65;S94 -> S68 + S103;S94 -> S103 + S103 + S103;S94 -> S103 + S111;S95 -> S40;S95 -> S43 + S138;S95 -> S62 + S103;S96 -> S103 + S103 + S109;S96 -> S103 + S112;S97 -> S118;S98 -> S20;S99 -> S106;S100 -> S92;S103 + S103 -> S112;S103 + S111 -> S19 + S112;S103 + S112 -> S93;S103 + S112 -> S95;S103 + S112 -> S109 + S112;S103 + S138 -> S102;S104 -> S19 + S103 + S109;S105 -> S129;S106 -> S31;S107 -> S34;S108 -> S44;S109 + S112 -> S96;S110 + S134 -> S33;S111 -> S19 + S103;S111 -> S103 + S103;S111 -> S103 + S109;S114 -> S69;S115 -> S87;S116 -> S86;S116 -> S130;S117 -> S25;S117 -> S93;S117 -> S129;S118 -> S116;S118 -> S117;S118 -> S129;S119 -> S94;S120 -> S55 + S138;S121 -> S41 + S103;S121 -> S42;S121 -> S50;S121 -> S64;S121 -> S94;S121 -> S103 + S111;S122 -> S42;S122 -> S62 + S103;S122 -> S95;S122 -> S103 + S103 + S103;S124 -> S85;S125 -> S55;S125 -> S114;S126 -> S8 + S81;S127 -> S58 + S128;S128 + S130 -> S29;S128 + S130 -> S73;S128 + S138 -> S88;S128 -> S37;S128 -> S58;S128 -> S64;S128 -> S76;S128 -> S85;S128 -> S110;S128 -> S121;S128 -> S124;S128 -> S130;S128 -> S134 + S138;S128 -> S135;S129 -> S58;S129 -> S119;S129 -> S120;S129 -> S130;S130 -> S27;S130 -> S32 + S138;S130 -> S37;S130 -> S58;S130 -> S93;S130 -> S97;S130 -> S105;S130 -> S117;S130 -> S118;S130 -> S120;S130 -> S121;S130 -> S125 + S138;S131 -> S128;S132 -> S10 + S57;S133 -> S98;S134 -> S67;S134 -> S87;S134 -> S115;S135 -> S30
;C6H6N12O11 -> C6H6N12O11;C6H6N9O7 + NO2 -> C6H6N10O9;C6H6N12O11 -> C6H6N12O11;C6H6N12O11 -> C6H6N12O11;C6H6N12O11 -> C6H6N12O11;C6H6N12O11 -> C6H6N12O11;C6H6N10O9 -> C6H6N10O9;C6H6N12O11 -> N2O + C6H6N10O10;C6H6N12O11 -> N2O + C6H6N10O10;C6H6N14O13 -> N2O + C4H4N8O8 + C2H2N4O4;N2O + C6H6N12O12 -> C6H6N14O13;C2H2N5O6 -> C2H2N4O3 + NO3;C2H2N4O4 + C10H10N20O20 -> C6H6N12O12 + C4H4N8O8 + C2H2N4O4;C2H2N4O4 + C4H4N8O8 + C6H6N12O12 -> C12H12N24O24;C2H2N4O4 + C4H4N8O8 -> C4H4N8O8 + C2H2N4O4;C2H2N4O4 + C4H4N8O8 -> C2H2N4O4 + C4H4N8O8;C2H2N4O4 + C4H4N8O8 -> C6H6N12O12;C2H2N4O4 + C4H4N8O8 -> C6H6N12O12;C2H2N4O4 + NO2 -> C2H2N5O6;C6H6N12O12 -> C6H6N11O10 + NO2;C12H12N24O24 -> C6H6N12O12 + C6H6N12O12;C12H12N24O24 -> C12H12N24O24;C6H6N12O12 + C6H6N12O12 -> C2H2N4O4 + C10H10N20O20;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;C6H6N12O12 -> C6H6N12O12;C12H12N24O24 -> C12H12N24O24;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C12H12N24O24 -> C12H12N24O24;C12H12N24O24 -> C12H12N24O24;C6H6N10O10 -> C6H6N10O10;C6H6N11O10 -> C6H6N11O10;C6H6N11O10 -> C6H6N11O10;C12H12N23O22 -> C12H12N23O22;C12H12N22O22 -> N2O3 + C6H6N9O7 + C6H6N10O10 + NO2;C13H11N15O18 -> C6H6N12O12 + C7H5N3O6;C6H6N12O13 -> N2O3 + C6H6N10O10;C6H6N12O12 + C6H6N10O10 -> C12H12N22O22;C6H6N12O12 + C7H5N3O6 -> C13H11N15O18;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 + NO2 -> C6H6N12O12;C6H6N9O8 + NO2 -> C6H6N10O10;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C4H4N8O8 -> C4H4N8O8;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 + NO2 -> C6H6N12O12;C6H6N11O10 + NO2 -> C2H2N4O4 + C4H4N8O8;C4H4N8O8 + C2H2N4O4 -> C6H6N12O12;C6H6N11O10 -> C6H6N10O8 + NO2;C6H6N11O10 -> C6H6N11O10;C13H11N15O18 -> C13H11N15O18;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;C6H6N11O10 -> C6H6N11O10;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 + NO2 -> C6H6N12O12;C6H6N11O10 + NO2 -> C6H6N12O12;C12H12N24O24 -> C6H6N12O12 + C6H6N12O12;C6H6N12O13 -> C6H6N12O13;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> N2O3 + C6H6N10O9;C6H6N12O12 -> C6H6N12O12;C4H4N8O8 + C2H2N4O4 -> C6H6N12O12;C4H4N8O8 -> C4H4N8O8;C6H6N11O10 -> C6H6N11O10;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N11O10 -> C6H6N11O10;C6H6N11O10 -> C6H6N11O10;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C12H12N24O24 -> C6H6N12O11 + C6H6N12O13;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> N2O3 + C6H6N10O9;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;C6H6N12O12 + NO2 -> C6H6N13O14;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O13 -> N2O3 + C6H6N10O10;C12H12N24O24 -> C6H6N12O11 + C6H6N12O13;C6H6N12O13 -> N2O3 + C6H6N9O8 + NO2;C6H6N12O13 -> N2O3 + C6H6N10O10;C6H6N12O13 -> C6H6N12O13;C6H6N10O10 -> C6H6N10O10;C6H6N10O10 -> C6H6N10O10;C6H6N10O10 -> C6H6N10O10;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 -> C6H6N10O8 + NO2;C6H6N13O14 -> C6H6N12O11 + NO3;C6H6N10O10 -> C2H2N4O4 + C4H4N5O4 + NO2;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C4H4N8O8 + C2H2N4O4;C6H6N12O12 -> C2H2N4O4 + C2H2N4O4 + C2H2N4O4;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C4H4N8O8 + C2H2N4O4;C6H6N12O12 -> C2H2N4O4 + C2H2N4O4 + C2H2N4O4;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N10O10 -> C6H6N10O10;C6H6N10O10 -> C6H6N10O10;C2H2N4O4 + C2H2N4O4 -> C4H4N8O8;C2H2N4O4 + C4H4N8O8 -> C2H2N4O4 + C4H4N8O8;C2H2N4O4 + C4H4N8O8 -> C6H6N12O12;C2H2N4O4 + C4H4N8O8 -> C6H6N12O12;C2H2N4O4 + C4H4N8O8 -> C2H2N4O4 + C4H4N8O8;C2H2N4O4 + NO2 -> C2H2N5O6;C6H6N12O12 -> C2H2N4O4 + C2H2N4O4 + C2H2N4O4;C6H6N12O12 -> C6H6N12O12;C6H6N10O10 -> C6H6N10O10;C12H12N22O22 -> C12H12N22O22;C6H6N11O10 -> C6H6N11O10;C2H2N4O4 + C4H4N8O8 -> C6H6N12O12;C6H6N12O12 + C6H6N11O10 -> C12H12N23O22;C4H4N8O8 -> C2H2N4O4 + C2H2N4O4;C4H4N8O8 -> C2H2N4O4 + C2H2N4O4;C4H4N8O8 -> C2H2N4O4 + C2H2N4O4;C6H6N11O10 -> C6H6N11O10;C6H6N11O10 -> C6H6N11O10;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C4H4N8O8 + C2H2N4O4;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C2H2N4O4 + C4H4N8O8;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C4H4N8O8 + C2H2N4O4;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C2H2N4O4 + C2H2N4O4 + C2H2N4O4;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 -> C6H6N11O10;C6H6N11O10 -> C6H6N11O10;C12H12N23O22 -> C6H6N11O9 + C6H6N12O13;C12H12N24O24 -> C6H6N12O12 + C6H6N12O12;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;C6H6N12O12 + NO2 -> C6H6N13O14;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C12H12N24O24 -> C6H6N12O11 + C6H6N12O13;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 -> C6H6N11O10;C6H6N11O10 -> C6H6N11O10;C6H6N11O10 -> C6H6N11O10;C6H6N12O12 -> C6H6N12O12
