# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
60000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
61000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
62000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
63000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
64000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
65000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C6N3O6	HC	H6C6N12O12	
66000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
67000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
68000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
69000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C3NO2	H2C4N2O4	H6C6N12O12	
70000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
71000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
72000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
73000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
74000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
75000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
76000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
77000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
78000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
79000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
80000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	
81000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
82000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
83000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
84000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C4N2O4	H2C3NO2	H6C6N12O12	
85000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
86000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
87000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
88000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
89000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
90000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
91000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
92000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
93000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H12C12N23O22	NO2	H12C12N24O24	
94000        287          5	 192	 92	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
95000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H12C12N23O22	NO2	
96000        288          4	 192	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H4C5N2O4	HC2NO2	H6C6N12O12	
97000        289          4	 191	 1	 1	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H5C7N2O4	NO2	H6C6N12O12	H6C6N11O10	
98000        290          5	 191	 1	 2	 95	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
99000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	
100000        288          5	 192	 93	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
101000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	
102000        288          2	 192	 96	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
103000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
104000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H3C2	H2C5N3O6	H6C6N12O12	H6C6N11O10	NO2	
105000        290          6	 191	 1	 1	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
106000        290          4	 192	 94	 2	 2	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
107000        289          4	 192	 95	 1	 1	
# Timestep     No_Moles     No_Specs     H5C7N3O6	H6C6N12O12	H6C6N11O10	NO2	
108000        289          4	 192	 95	 1	 1	
