R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R29;S25 + S31 -> S17;C3H6N5O4 + NO2 -> C3H6N6O6;[O]N(N1C[N]CN(C1)N([O])[O])[O],[O]N=O:ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];2.948203e+07;1.248957e+06;1.404868e+08;1
R29*;S17 -> S25 + S31;C3H6N6O6 -> C3H6N5O4 + NO2;ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O]:[O]N(N1C[N]CN(C1)N([O])[O])[O],[O]N=O;0.000000e+00;0.000000e+00;2.995732e+13;0
R30;S25 -> S1 + S31;C3H6N5O4 -> C3H6N4O2 + NO2;[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NC/N=C\NN([O])[O],[O]N=O;1.517911e+09;6.430378e+07;7.233103e+09;1
R30*;S1 + S31 -> S25;C3H6N4O2 + NO2 -> C3H6N5O4;C=NC/N=C\NN([O])[O],[O]N=O:[O]N(N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;4.510075e+11;0
R31;S25 -> S2;C3H6N5O4 -> C3H6N5O4;[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NCN(N([O])[O])C[N]N([O])[O];1.821494e+10;9.707649e+09;3.064926e+10;12
R31*;S2 -> S25;C3H6N5O4 -> C3H6N5O4;C=NCN(N([O])[O])C[N]N([O])[O]:[O]N(N1C[N]CN(C1)N([O])[O])[O];3.552398e+10;5.390774e+09;1.136984e+11;2
R32;S25 -> S7 + S8;C3H6N5O4 -> CH2N2O2 + C2H4N3O2;[O]N(N1C[N]CN(C1)N([O])[O])[O]:C=NN([O])[O],C=N[CH]NN([O])[O];1.517911e+09;6.430378e+07;7.233103e+09;1
R32*;S7 + S8 -> S25;CH2N2O2 + C2H4N3O2 -> C3H6N5O4;C=NN([O])[O],C=N[CH]NN([O])[O]:[O]N(N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;1.804030e+12;0
R33;S25 -> S11 + S19 + S31;C3H6N5O4 -> CH2N3O2 + C2H4N + NO2;[O]N(N1C[N]CN(C1)N([O])[O])[O]:N=C[N]N([O])[O],[CH2]N=C,[O]N=O;1.517911e+09;6.430378e+07;7.233103e+09;1
R33*;S11 + S19 + S31 -> S25;CH2N3O2 + C2H4N + NO2 -> C3H6N5O4;N=C[N]N([O])[O],[CH2]N=C,[O]N=O:[O]N(N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;4.398327e+10;0
R34;S25 -> S23 + S31;C3H6N5O4 -> C3H6N4O2 + NO2;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;1.517911e+09;6.430378e+07;7.233103e+09;1
R34*;S23 + S31 -> S25;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1CNC=NC1)[O],[O]N=O:[O]N(N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;2.540995e+08;0
R35;S25 -> S26 + S31;C3H6N5O4 -> C3H6N4O2 + NO2;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1C[N]C[N]C1)[O],[O]N=O;1.517911e+09;6.430378e+07;7.233103e+09;1
R35*;S26 + S31 -> S25;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1C[N]C[N]C1)[O],[O]N=O:[O]N(N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;1.773874e+10;0
R36;S25 -> S27;C3H6N5O4 -> C3H6N5O4;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1[CH]NCN(C1)N([O])[O])[O];1.214329e+10;5.498837e+09;2.273424e+10;8
R36*;S27 -> S25;C3H6N5O4 -> C3H6N5O4;[O]N(N1[CH]NCN(C1)N([O])[O])[O]:[O]N(N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;9.361663e+11;0
R37;S25 -> S28 + S31;C3H6N5O4 -> C3H6N4O2 + NO2;[O]N(N1C[N]CN(C1)N([O])[O])[O]:[O]N(N1[CH]NC[N]C1)[O],[O]N=O;1.517911e+09;6.430378e+07;7.233103e+09;1
R37*;S28 + S31 -> S25;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1[CH]NC[N]C1)[O],[O]N=O:[O]N(N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;2.569843e+10;0
R38;S27 -> S11 + S19 + S31;C3H6N5O4 -> CH2N3O2 + C2H4N + NO2;[O]N(N1[CH]NCN(C1)N([O])[O])[O]:N=C[N]N([O])[O],[CH2]N=C,[O]N=O;3.125000e+11;1.323854e+10;1.489115e+12;1
R38*;S11 + S19 + S31 -> S27;CH2N3O2 + C2H4N + NO2 -> C3H6N5O4;N=C[N]N([O])[O],[CH2]N=C,[O]N=O:[O]N(N1[CH]NCN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;4.398327e+10;0
R39;S27 -> S23 + S31;C3H6N5O4 -> C3H6N4O2 + NO2;[O]N(N1[CH]NCN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;2.500000e+12;1.132073e+12;4.680412e+12;8
R39*;S23 + S31 -> S27;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1CNC=NC1)[O],[O]N=O:[O]N(N1[CH]NCN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;2.540995e+08;0
R40;S28 -> S3;C3H6N4O2 -> C3H6N4O2;[O]N(N1[CH]NC[N]C1)[O]:C=NCN/C=N\N([O])[O];1.052632e+12;1.597371e+11;3.369064e+12;2
R40*;S3 -> S28;C3H6N4O2 -> C3H6N4O2;C=NCN/C=N\N([O])[O]:[O]N(N1[CH]NC[N]C1)[O];0.000000e+00;0.000000e+00;2.155203e+11;0
R41;S31 + S31 -> S15;NO2 + NO2 -> N2O4;[O]N=O,[O]N=O:O=NON([O])[O];1.296543e+07;5.492587e+05;6.178244e+07;1
R41*;S15 -> S31 + S31;N2O4 -> NO2 + NO2;O=NON([O])[O]:[O]N=O,[O]N=O;0.000000e+00;0.000000e+00;1.497866e+13;0
