t [steps];S0;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31
;C1[N]CN=CN1;C=NC/N=C\NN([O])[O];C=NCN(N([O])[O])C[N]N([O])[O];C=NCN/C=N\N([O])[O];C=NCNC=[N];C=NC[N]C=N;C=NC[N]N([O])[O];C=NN([O])[O];C=N[CH]NN([O])[O];C=[N];N=CN(N([O])[O])CN=C;N=C[N]N([O])[O];O;O=NN(N([O])[O])CN(N([O])[O])CN(N([O])[O])[CH2];O=NN1CN(CN(C1)N([O])[O])N([O])[O];O=NON([O])[O];ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O];ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];ON=O;[CH2]N=C;[N]=O;[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(N1CNC=NC1)[O];[O]N(N1C[N]C=NC1)[O];[O]N(N1C[N]CN(C1)N([O])[O])[O];[O]N(N1C[N]C[N]C1)[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(N1[CH]NC[N]C1)[O];[O]N([N]C[N]N([O])[O])[O];[O]N([O])[O];[O]N=O
290000.0;0;0;1;0;0;0;1;3;0;1;0;0;0;0;1;0;1;0;0;0;0;169;0;3;1;14;0;0;0;0;1;24
300000.0;0;0;0;0;0;0;1;5;0;2;0;0;0;0;1;0;1;0;0;0;0;169;0;3;1;14;0;0;0;0;1;24
302000.0;0;0;0;0;0;0;2;4;0;1;0;0;0;0;1;0;1;0;0;0;0;168;0;3;1;15;0;0;0;0;1;25
306000.0;0;0;0;0;0;0;2;4;0;1;0;0;0;0;1;0;1;0;0;0;0;167;0;3;1;16;0;0;0;0;1;26
307000.0;0;0;0;0;0;0;1;5;0;2;0;0;0;0;1;0;1;0;0;0;0;167;0;3;1;16;0;0;0;0;1;26
315000.0;0;0;0;0;0;0;1;5;0;2;0;0;0;0;1;0;1;0;0;0;0;166;0;3;1;17;0;0;0;0;1;27
318000.0;0;0;0;0;0;0;1;5;0;2;0;0;0;0;1;0;1;0;0;0;0;165;0;3;1;18;0;0;0;0;1;28
320000.0;0;0;0;0;0;0;1;5;0;2;0;0;0;0;1;0;1;0;0;0;0;165;0;3;1;17;0;1;0;0;1;28
322000.0;0;0;0;0;0;0;1;5;0;2;0;0;0;0;1;0;1;0;0;0;0;165;0;4;1;17;0;0;0;0;1;29
334000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;1;0;1;0;0;0;0;165;0;4;1;17;0;0;0;0;1;29
338000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;1;1;1;0;0;0;0;165;0;4;1;17;0;0;0;0;1;27
340000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;1;0;1;0;0;0;1;165;0;4;1;17;0;0;0;0;2;27
342000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;1;0;1;0;0;0;1;164;0;4;1;18;0;0;0;0;2;28
350000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;1;0;1;0;0;0;1;164;0;5;1;17;0;0;0;0;2;29
357000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;2;0;1;0;0;0;1;163;0;5;1;17;0;0;0;0;3;28
358000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;2;0;1;0;0;0;1;162;0;5;1;18;0;0;0;0;3;29
374000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;2;0;1;0;0;0;1;161;0;5;1;19;0;0;0;0;3;30
396000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;2;0;1;0;0;0;1;160;0;5;1;20;0;0;0;0;3;31
402000.0;0;0;0;0;0;0;0;6;0;3;0;0;0;0;2;0;1;0;0;0;1;160;0;5;1;19;0;0;1;0;3;32
403000.0;0;0;0;1;0;0;0;6;0;3;0;0;0;0;2;0;1;0;0;0;1;160;0;5;1;19;0;0;0;0;3;32
406000.0;0;0;0;1;0;0;0;6;0;3;0;0;0;0;2;0;1;0;0;0;1;159;0;5;1;20;0;0;0;0;3;33
407000.0;0;0;0;0;0;0;0;6;0;3;1;0;0;0;2;0;1;1;0;0;1;159;0;5;1;19;0;0;0;0;3;32
408000.0;0;0;1;0;0;0;0;6;0;3;1;0;0;0;2;0;1;0;1;0;1;158;1;5;1;19;0;0;0;0;3;33
415000.0;0;0;2;0;0;0;0;6;0;3;1;0;0;0;2;0;1;0;1;0;1;157;1;5;1;19;0;0;0;0;3;34
417000.0;0;0;1;0;0;0;0;9;0;3;1;0;0;0;2;0;1;0;1;0;1;157;1;5;1;19;0;0;0;0;3;33
418000.0;0;0;1;0;0;0;0;9;0;3;1;0;0;1;2;0;1;0;1;0;0;156;1;5;1;19;0;0;0;0;3;33
419000.0;0;0;1;0;0;0;0;9;0;3;1;0;0;1;2;0;1;0;1;0;0;155;1;5;1;20;0;0;0;0;3;34
420000.0;0;0;1;0;0;0;0;9;0;3;1;0;0;1;2;0;1;0;1;0;0;155;1;5;1;19;0;1;0;0;3;34
421000.0;0;0;1;0;0;0;0;10;1;3;1;1;0;1;2;0;1;0;1;1;0;155;1;5;1;18;0;0;0;0;3;35
422000.0;0;0;1;0;0;0;0;9;0;3;1;0;0;1;2;0;1;0;1;0;0;155;1;6;1;18;0;0;1;0;3;36
429000.0;1;0;1;0;0;0;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;2;5;1;18;0;0;1;0;3;38
430000.0;1;0;2;0;0;0;0;9;0;3;1;0;1;1;3;0;0;0;1;0;0;154;2;5;1;17;0;0;1;0;3;38
