R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R877*;S166 -> S475;C2H3N4O4 -> C2H3N4O4;NON(C(=C=N)N([O])[O])[O]:[O]N(C(=C([NH])N)N([O])[O])[O];0.000000e+00;0.000000e+00;9.985774e+12;0
R878;S475 -> S295;C2H3N4O4 -> C2H3N4O4;[O]N(C(=C([NH])N)N([O])[O])[O]:ON(/C(=C(\[N])/N)/N([O])[O])[O];2.216803e+09;9.391118e+07;1.056344e+10;1
R878*;S295 -> S475;C2H3N4O4 -> C2H3N4O4;ON(/C(=C(\[N])/N)/N([O])[O])[O]:[O]N(C(=C([NH])N)N([O])[O])[O];0.000000e+00;0.000000e+00;4.279618e+12;0
R879;S475 -> S362 + S478;C2H3N4O4 -> H2N + C2HN3O4;[O]N(C(=C([NH])N)N([O])[O])[O]:[NH2],[O]N(C(=C=N)N([O])[O])[O];2.438484e+10;1.259296e+10;4.191707e+10;11
R879*;S362 + S478 -> S475;H2N + C2HN3O4 -> C2H3N4O4;[NH2],[O]N(C(=C=N)N([O])[O])[O]:[O]N(C(=C([NH])N)N([O])[O])[O];0.000000e+00;0.000000e+00;8.906767e+07;0
R880;S475 -> S362 + S520 + S536;C2H3N4O4 -> H2N + C2HN2O2 + NO2;[O]N(C(=C([NH])N)N([O])[O])[O]:[NH2],[O]N([C]=C=N)[O],[O]N=O;4.433607e+09;6.728011e+08;1.419025e+10;2
R880*;S362 + S520 + S536 -> S475;H2N + C2HN2O2 + NO2 -> C2H3N4O4;[NH2],[O]N([C]=C=N)[O],[O]N=O:[O]N(C(=C([NH])N)N([O])[O])[O];0.000000e+00;0.000000e+00;3.755825e+05;0
R881;S475 -> S460 + S536;C2H3N4O4 -> C2H3N3O2 + NO2;[O]N(C(=C([NH])N)N([O])[O])[O]:[O]N(/[C]=C(/[NH])\N)[O],[O]N=O;6.650410e+09;1.579474e+09;1.761981e+10;3
R881*;S460 + S536 -> S475;C2H3N3O2 + NO2 -> C2H3N4O4;[O]N(/[C]=C(/[NH])\N)[O],[O]N=O:[O]N(C(=C([NH])N)N([O])[O])[O];0.000000e+00;0.000000e+00;7.525885e+08;0
R882;S477 -> S128;C2H2N4O4 -> C2H2N4O4;[O]N(C(=C([N])N)N([O])[O])[O]:NN=C=C(N([O])[O])N([O])[O];1.315789e+11;5.574123e+09;6.269958e+11;1
R882*;S128 -> S477;C2H2N4O4 -> C2H2N4O4;NN=C=C(N([O])[O])N([O])[O]:[O]N(C(=C([N])N)N([O])[O])[O];0.000000e+00;0.000000e+00;8.230034e+10;0
R883;S477 -> S362 + S483;C2H2N4O4 -> H2N + C2N3O4;[O]N(C(=C([N])N)N([O])[O])[O]:[NH2],[O]N(C(=C=[N])N([O])[O])[O];1.315789e+11;5.574123e+09;6.269958e+11;1
