 ************************ Laplacian bond order matrix ************************
             1             2             3             4             5      
     1    0.72894296    0.00000000    0.00000000    0.00000000    0.00000000
     2    0.00000000    0.74289656    0.00000000    0.00000000    0.00000000
     3    0.00000000    0.00000000    0.76109769    0.00000000    0.00000000
     4    0.00000000    0.00000000    0.00000000    0.70258724    0.00000000
     5    0.00000000    0.00000000    0.00000000    0.00000000    0.73698866
     6    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     7    0.72887029    0.00001695    0.00000000    0.00000000    0.00000000
     8    0.00001091    0.74283480    0.00000000    0.00000000    0.00000000
     9    0.00000000    0.00000000    0.00000640    0.70253883    0.00000000
    10    0.00000000    0.00000000    0.76100883    0.00001148    0.00000000
    11    0.00000000    0.00000000    0.00000000    0.00000000    0.73692173
    12    0.00000000    0.00000000    0.00000000    0.00000000    0.00000422
    13    0.00000005    0.00000000    0.00000000    0.00000000    0.00000008
    14    0.00000000    0.00003912    0.00002744    0.00000000    0.00000000
    15    0.00000000    0.00000470    0.00000000    0.00000991    0.00000000
    16    0.00000000    0.00000001    0.00000019    0.00000000    0.00000000
    17    0.00003139    0.00000000    0.00000000    0.00000000    0.00001716
    18    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    19    0.00002802    0.00000000    0.00000000    0.00000000    0.00000000
    20    0.00000000    0.00000000    0.00000000    0.00000005    0.00000000
    21    0.00000000    0.00000000    0.00000000    0.00002506    0.00004102
    22    0.00000000    0.00000000    0.00005432    0.00000000    0.00000000
    23    0.00000000    0.00000000    0.00000001    0.00000000    0.00000000
    24    0.00000000    0.00000000    0.00000000    0.00000000    0.00000001
    25    0.00000230    0.00000000    0.00000000    0.00000000    0.00000000
    26    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    27    0.00000000    0.00000088    0.00000000    0.00000000    0.00000000
    28    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    29    0.00000000    0.00000008    0.00000000    0.00000000    0.00000000
    30    0.00000000    0.00000000    0.00000027    0.00000000    0.00000000
    31    0.00000000    0.00000000    0.00000000    0.00000173    0.00000000
    32    0.00000000    0.00000000    0.00000000    0.00000017    0.00000000
    33    0.00000000    0.00000000    0.00000000    0.00000000    0.00000409
    34    0.00000000    0.00000000    0.00000000    0.00000000    0.00000035
    35    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    36    0.00000000    0.00000000    0.00000024    0.00000000    0.00000000
             6             7             8             9            10      
     1    0.00000000    0.72887029    0.00001091    0.00000000    0.00000000
     2    0.00000000    0.00001695    0.74283480    0.00000000    0.00000000
     3    0.00000000    0.00000000    0.00000000    0.00000640    0.76100883
     4    0.00000000    0.00000000    0.00000000    0.70253883    0.00001148
     5    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     6    0.73237416    0.00000000    0.00000000    0.00000000    0.00000000
     7    0.00000000    2.68466368    0.97240798    0.00000000    0.00000000
     8    0.00000000    0.97240798    2.70572290    0.00000787    0.00000935
     9    0.00000000    0.00000000    0.00000787    2.59887218    1.03887389
    10    0.00000000    0.00000000    0.00000935    1.03887389    2.65896107
    11    0.00001086    0.00000926    0.00000000    0.00000496    0.00000000
    12    0.73228545    0.00000722    0.00000000    0.00000000    0.00000567
    13    0.00000000    0.00000239    0.00000000    0.00000000    0.00000000
    14    0.00000000    0.00000690    0.44866475    0.00000817    0.33925123
    15    0.00000000    0.00000905    0.54177354    0.36426745    0.00001338
    16    0.00000000    0.00000000    0.00000126    0.00000000    0.00000127
    17    0.00000000    0.62060366    0.00000757    0.00000000    0.00000000
    18    0.00000000    0.00000169    0.00000000    0.00000000    0.00000000
    19    0.00003857    0.36272758    0.00000306    0.00000000    0.00000000
    20    0.00000000    0.00000000    0.00000145    0.00000114    0.00000000
    21    0.00000000    0.00000000    0.00000000    0.49315392    0.00000937
    22    0.00003413    0.00000000    0.00000000    0.00000558    0.51977411
    23    0.00000002    0.00000000    0.00000000    0.00000000    0.00000185
    24    0.00000000    0.00000000    0.00000000    0.00000229    0.00000000
    25    0.00000000    0.00000052    0.00000000    0.00000000    0.00000000
    26    0.00000000    0.00000019    0.00000001    0.00000000    0.00000000
    27    0.00000000    0.00000000    0.00000020    0.00000000    0.00000000
    28    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    29    0.00000000    0.00000000    0.00000014    0.00000000    0.00000000
    30    0.00000000    0.00000000    0.00000000    0.00000000    0.00000005
    31    0.00000000    0.00000000    0.00000000    0.00000028    0.00000000
    32    0.00000000    0.00000000    0.00000000    0.00000139    0.00000000
    33    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    34    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    35    0.00000514    0.00000000    0.00000000    0.00000000    0.00000000
    36    0.00000000    0.00000000    0.00000000    0.00000000    0.00000059
            11            12            13            14            15      
     1    0.00000000    0.00000000    0.00000005    0.00000000    0.00000000
     2    0.00000000    0.00000000    0.00000000    0.00003912    0.00000470
     3    0.00000000    0.00000000    0.00000000    0.00002744    0.00000000
     4    0.00000000    0.00000000    0.00000000    0.00000000    0.00000991
     5    0.73692173    0.00000422    0.00000008    0.00000000    0.00000000
     6    0.00001086    0.73228545    0.00000000    0.00000000    0.00000000
     7    0.00000926    0.00000722    0.00000239    0.00000690    0.00000905
     8    0.00000000    0.00000000    0.00000000    0.44866475    0.54177354
     9    0.00000496    0.00000000    0.00000000    0.00000817    0.36426745
    10    0.00000000    0.00000567    0.00000000    0.33925123    0.00001338
    11    2.59173731    1.07190268    0.00000133    0.00000000    0.00000000
    12    1.07190268    2.77446209    0.00000000    0.00000000    0.00000000
    13    0.00000133    0.00000000    1.39539997    0.00000000    0.00000000
    14    0.00000000    0.00000000    0.00000000    1.01115961    0.00001072
    15    0.00000000    0.00000000    0.00000000    0.00001072    1.11547727
    16    0.00000000    0.00000000    0.00000000    0.22312605    0.00000000
    17    0.26651916    0.00000857    0.24275439    0.00000000    0.00000072
    18    0.00000000    0.00000228    0.00000000    0.00001462    0.00000000
    19    0.00001735    0.46999604    0.00000000    0.00000001    0.00000000
    20    0.00000000    0.00000000    0.00000000    0.00000000    0.20937878
    21    0.51633988    0.00000670    0.00000000    0.00000000    0.00000193
    22    0.00000711    0.50023412    0.00000000    0.00000149    0.00000000
    23    0.00000000    0.00000237    0.00000000    0.00000000    0.00000000
    24    0.00000190    0.00000000    0.00000000    0.00000000    0.00000000
    25    0.00000000    0.00000000    0.55291539    0.00000000    0.00000000
