# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N23O22	NO2	
1000         96          3	 94	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
236000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
237000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
238000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H12C12N23O22	NO2	H6C6N11O10	H6C6N9O8	N2O	NO3	
239000        100          9	 89	 1	 3	 1	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
240000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
241000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
242000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
243000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
244000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
245000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
246000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
247000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
248000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
249000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
250000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
251000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
252000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
253000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
254000        103          8	 88	 4	 4	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
255000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
256000        104          8	 87	 5	 5	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
257000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
258000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
259000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
260000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
261000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
262000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
263000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
264000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
265000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
266000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
267000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
268000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
269000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
270000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
271000        100          8	 88	 2	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
272000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
273000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
274000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
275000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O10	H6C6N14O14	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
276000        101         10	 88	 1	 1	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
277000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
278000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
279000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
280000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
281000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
282000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
283000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N12O13	H2C2N4O4	H2C2N4O3	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
284000        101         10	 89	 1	 1	 2	 1	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
285000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
286000        100          8	 88	 2	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
287000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
288000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
289000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
290000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
291000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
292000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
293000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
294000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
295000        102          8	 89	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
296000        100          8	 88	 2	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
297000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
298000        103          8	 88	 1	 4	 4	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
299000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
300000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
301000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
302000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
303000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
304000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
305000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
306000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N12O13	H6C6N11O9	NO2	H6C6N11O10	H6C6N9O8	N2O	NO3	
307000        101         10	 89	 1	 3	 1	 1	 2	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
308000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
309000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H12C12N24O24	H2C2N4O4	H6C6N11O10	NO2	H6C6N9O8	N2O	NO3	
310000        101          8	 90	 1	 3	 2	 2	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
311000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
312000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
313000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
314000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
315000        103          8	 88	 4	 4	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
316000        102          8	 89	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
317000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
318000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
319000        104         10	 87	 1	 1	 4	 4	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
320000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
321000        104         10	 87	 1	 1	 4	 4	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
322000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
323000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
324000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H12C12N24O24	H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H2C2N4O4	H6C6N9O8	N2O	NO3	
325000        102         10	 2	 86	 1	 1	 3	 3	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H7C6N12O12	H5C6N12O12	H2C2N4O4	H6C6N9O8	N2O	NO3	
326000        103         12	 86	 1	 1	 3	 3	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
327000        104         10	 87	 1	 1	 4	 4	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
328000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
329000        104         10	 87	 1	 1	 4	 4	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
330000        104         10	 87	 1	 1	 4	 4	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N10O9	N2O3	H6C6N11O10	NO2	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
331000        103         10	 88	 1	 1	 3	 3	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
332000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
333000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
334000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
335000        106         10	 85	 6	 6	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
336000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H6C6N12O13	H6C6N12O11	H2C2N4O4	H6C6N9O8	N2O	NO3	
337000        106         12	 83	 6	 6	 1	 1	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
338000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
339000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
340000        106         10	 85	 6	 6	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
341000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
342000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
343000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
344000        103         10	 85	 4	 4	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
345000        103         10	 85	 4	 4	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
346000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
347000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
348000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
349000        105         10	 86	 5	 5	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
350000        106         10	 85	 6	 6	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
351000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N12O11	H6C6N12O13	H6C6N9O8	N2O	NO3	
352000        105         12	 84	 5	 5	 1	 1	 1	 3	 1	 1	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
353000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
354000        104         10	 84	 5	 5	 1	 1	 2	 3	 1	 1	 1	
# Timestep     No_Moles     No_Specs     H6C6N12O12	H6C6N11O10	NO2	H6C6N10O9	N2O3	H12C12N24O24	H2C2N4O4	H6C6N9O8	N2O	NO3	
355000        104         10	 87	 4	 4	 1	 1	 1	 3	 1	 1	 1	
