R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R509*;S365 -> S310;C2H4N4O4 -> C2H4N4O4;OON(/C(=C(/N)\[NH])/N=O)[O]:ON(/C(=C(\N)/[NH])/N([O])[O])[O];0.000000e+00;0.000000e+00;3.744665e+12;0
R510;S312 -> S323 + S606;C9H8N7O10 -> C2H3N4O4 + C7H5N3O6;ON(/C(=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])/N([O])[O])[O]:ON(C(=C([NH])[NH])N([O])[O])[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O];2.500000e+12;1.059083e+11;1.191292e+13;1
R510*;S323 + S606 -> S312;C2H3N4O4 + C7H5N3O6 -> C9H8N7O10;ON(C(=C([NH])[NH])N([O])[O])[O],[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O]:ON(/C(=C(\N[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O])/[NH])/N([O])[O])[O];0.000000e+00;0.000000e+00;2.808528e+08;0
R511;S313 + S316 -> S194 + S221 + S323;C2H4N4O4 + C2H4N3O2 -> H2O + C2H3N3O + C2H3N4O4;ON(/C(=C(\[NH])/N)/N([O])[O])[O],ON(/[C]=C(/N)\[NH])[O]:O,O=N/[C]=C(/N)\[NH],ON(C(=C([NH])[NH])N([O])[O])[O];3.811392e+10;1.614633e+09;1.816193e+11;1
R511*;S194 + S221 + S323 -> S313 + S316;H2O + C2H3N3O + C2H3N4O4 -> C2H4N4O4 + C2H4N3O2;O,O=N/[C]=C(/N)\[NH],ON(C(=C([NH])[NH])N([O])[O])[O]:ON(/C(=C(\[NH])/N)/N([O])[O])[O],ON(/[C]=C(/N)\[NH])[O];0.000000e+00;0.000000e+00;3.215589e+08;0
R512;S313 -> S194 + S218;C2H4N4O4 -> H2O + C2H2N4O3;ON(/C(=C(\[NH])/N)/N([O])[O])[O]:O,O=N/C(=C(\[N])/N)/N([O])[O];2.915452e+10;1.235083e+09;1.389262e+11;1
R512*;S194 + S218 -> S313;H2O + C2H2N4O3 -> C2H4N4O4;O,O=N/C(=C(\[N])/N)/N([O])[O]:ON(/C(=C(\[NH])/N)/N([O])[O])[O];0.000000e+00;0.000000e+00;1.571455e+10;0
R513;S313 -> S217 + S477;C2H4N4O4 -> C2H3N4O3 + HO;ON(/C(=C(\[NH])/N)/N([O])[O])[O]:O=N/C(=C(\[NH])/N)/N([O])[O],[OH];1.457726e+11;5.125596e+10;3.167478e+11;5
R513*;S217 + S477 -> S313;C2H3N4O3 + HO -> C2H4N4O4;O=N/C(=C(\[NH])/N)/N([O])[O],[OH]:ON(/C(=C(\[NH])/N)/N([O])[O])[O];0.000000e+00;0.000000e+00;5.798875e+09;0
R514;S313 -> S325 + S389;C2H4N4O4 -> C2H2N3O4 + H2N;ON(/C(=C(\[NH])/N)/N([O])[O])[O]:ON(C(=C=N)N([O])[O])[O],[NH2];2.915452e+10;1.235083e+09;1.389262e+11;1
R514*;S325 + S389 -> S313;C2H2N3O4 + H2N -> C2H4N4O4;ON(C(=C=N)N([O])[O])[O],[NH2]:ON(/C(=C(\[NH])/N)/N([O])[O])[O];0.000000e+00;0.000000e+00;3.161692e+08;0
R515;S314 -> S315;C2H2N4O4 -> C2H2N4O4;ON(/C(=C(\[N])/[NH])/N([O])[O])[O]:ON(/C(=C/1\[N]N1)/N([O])[O])[O];5.000000e+12;2.118167e+11;2.382584e+13;1
R515*;S315 -> S314;C2H2N4O4 -> C2H2N4O4;ON(/C(=C/1\[N]N1)/N([O])[O])[O]:ON(/C(=C(\[N])/[NH])/N([O])[O])[O];0.000000e+00;0.000000e+00;2.995732e+13;0
R516;S315 -> S431;C2H2N4O4 -> C2H2N4O4;ON(/C(=C/1\[N]N1)/N([O])[O])[O]:[NH]N=C=C(N([O])[O])N(O)[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R516*;S431 -> S315;C2H2N4O4 -> C2H2N4O4;[NH]N=C=C(N([O])[O])N(O)[O]:ON(/C(=C/1\[N]N1)/N([O])[O])[O];0.000000e+00;0.000000e+00;1.497866e+13;0
R517;S316 + S585 -> S333 + S335;C2H4N3O2 + C2N2O2 -> C2H3N3O2 + C2HN2O2;ON(/[C]=C(/N)\[NH])[O],[O]N([C]=C=[N])[O]:ON([C]=C([NH])[NH])[O],ON([C]=C=[N])[O];2.652863e+10;1.123841e+09;1.264134e+11;1
R517*;S333 + S335 -> S316 + S585;C2H3N3O2 + C2HN2O2 -> C2H4N3O2 + C2N2O2;ON([C]=C([NH])[NH])[O],ON([C]=C=[N])[O]:ON(/[C]=C(/N)\[NH])[O],[O]N([C]=C=[N])[O];0.000000e+00;0.000000e+00;1.387715e+12;0
R518;S317 + S323 -> S309 + S318;C2H4N3O2 + C2H3N4O4 -> C2H4N4O4 + C2H3N3O2;ON(/[C]=C(/[NH])\N)[O],ON(C(=C([NH])[NH])N([O])[O])[O]:ON(/C(=C(/[NH])\N)/N([O])[O])[O],ON(/[C]=C(/[N])\N)[O];6.510270e+09;2.757968e+08;3.102253e+10;1
