 ************************ Laplacian bond order matrix ************************
             1             2             3             4             5      
     1    0.88666834    0.00000000    0.00000000    0.00000000    0.00000000
     2    0.00000000    0.70943457    0.00000000    0.00000000    0.00000000
     3    0.00000000    0.00000000    0.77348206    0.00000000    0.00000000
     4    0.00000000    0.00000000    0.00000000    0.71617705    0.00000000
     5    0.00000000    0.00000000    0.00000000    0.00000000    0.72733639
     6    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     7    0.88659145    0.00000000    0.00000000    0.00002682    0.00000000
     8    0.00000000    0.70929447    0.00000000    0.00000000    0.00000000
     9    0.00000000    0.00000000    0.77338818    0.00000000    0.00001193
    10    0.00002395    0.00000000    0.00000000    0.71608858    0.00000000
    11    0.00000000    0.00000000    0.00000363    0.00000000    0.72723732
    12    0.00000000    0.00000546    0.00000000    0.00000000    0.00000000
    13    0.00000524    0.00001238    0.00000000    0.00000000    0.00000000
    14    0.00000000    0.00000007    0.00000000    0.00000000    0.00000000
    15    0.00000000    0.00008569    0.00006739    0.00000000    0.00000000
    16    0.00000000    0.00000006    0.00000001    0.00000000    0.00000000
    17    0.00000000    0.00000000    0.00001970    0.00000367    0.00000000
    18    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    19    0.00000000    0.00000000    0.00000000    0.00005737    0.00000834
    20    0.00000000    0.00000000    0.00000000    0.00000006    0.00000012
    21    0.00000000    0.00000000    0.00000000    0.00000000    0.00001755
    22    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    23    0.00004724    0.00000000    0.00000000    0.00000000    0.00000000
    24    0.00000001    0.00000000    0.00000000    0.00000000    0.00000000
    25    0.00000000    0.00003498    0.00000000    0.00000000    0.00000000
    26    0.00000026    0.00000000    0.00000000    0.00000000    0.00000000
    27    0.00000000    0.00000000    0.00000314    0.00000000    0.00000000
    28    0.00000000    0.00000145    0.00000000    0.00000000    0.00000000
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    30    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    31    0.00000000    0.00000000    0.00000000    0.00000000    0.00006076
    32    0.00000000    0.00000000    0.00000000    0.00000056    0.00000000
    33    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    34    0.00000000    0.00000000    0.00000000    0.00000000    0.00000035
    35    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    36    0.00000019    0.00000000    0.00000000    0.00000000    0.00000000
             6             7             8             9            10      
     1    0.00000000    0.88659145    0.00000000    0.00000000    0.00002395
     2    0.00000000    0.00000000    0.70929447    0.00000000    0.00000000
     3    0.00000000    0.00000000    0.00000000    0.77338818    0.00000000
     4    0.00000000    0.00002682    0.00000000    0.00000000    0.71608858
     5    0.00000000    0.00000000    0.00000000    0.00001193    0.00000000
     6    0.78936813    0.00000000    0.00000671    0.00000000    0.00000000
     7    0.00000000    2.90494507    0.00001020    0.00000000    1.07006513
     8    0.00000671    0.00001020    2.68757962    0.00000337    0.00000000
     9    0.00000000    0.00000000    0.00000337    2.62481450    0.00000536
    10    0.00000000    1.07006513    0.00000000    0.00000536    2.55288630
    11    0.00000000    0.00000000    0.00000000    1.01081626    0.00001024
    12    0.78931488    0.00001887    0.96616730    0.00000000    0.00000000
    13    0.00000000    0.39907844    0.41171442    0.00000000    0.00000700
    14    0.00000000    0.00000230    0.00000271    0.00000000    0.00000000
    15    0.00000000    0.00000000    0.60034931    0.27214371    0.00000000
    16    0.00000000    0.00000000    0.00000292    0.00000098    0.00000000
    17    0.00000000    0.00000177    0.00000000    0.56842098    0.18875362
    18    0.00000000    0.00000000    0.00000000    0.00000168    0.00000085
    19    0.00000000    0.00000464    0.00000000    0.00001538    0.57791417
    20    0.00000000    0.00000000    0.00000000    0.00000000    0.00000262
    21    0.00003079    0.00000000    0.00001637    0.00000513    0.00000000
    22    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    23    0.00001252    0.54914342    0.00000604    0.00000000    0.00001417
    24    0.00000008    0.00000120    0.00000000    0.00000000    0.00000000
    25    0.00000000    0.00000000    0.00000538    0.00000000    0.00000000
    26    0.00000000    0.00000046    0.00000000    0.00000000    0.00000000
    27    0.00000000    0.00000000    0.00000000    0.00000122    0.00000000
    28    0.00000000    0.00000000    0.00000041    0.00000000    0.00000000
    29    0.00000000    0.00000000    0.00000000    0.00000032    0.00000000
    30    0.00000000    0.00000031    0.00000000    0.00000000    0.00000033
    31    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    32    0.00000000    0.00000000    0.00000000    0.00000000    0.00000027
    33    0.00000039    0.00000000    0.00000000    0.00000000    0.00000000
    34    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    35    0.00000275    0.00000000    0.00000000    0.00000000    0.00000000
    36    0.00000000    0.00000007    0.00000000    0.00000000    0.00000000
            11            12            13            14            15      
     1    0.00000000    0.00000000    0.00000524    0.00000000    0.00000000
     2    0.00000000    0.00000546    0.00001238    0.00000007    0.00008569
     3    0.00000363    0.00000000    0.00000000    0.00000000    0.00006739
     4    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     5    0.72723732    0.00000000    0.00000000    0.00000000    0.00000000
     6    0.00000000    0.78931488    0.00000000    0.00000000    0.00000000
     7    0.00000000    0.00001887    0.39907844    0.00000230    0.00000000
     8    0.00000000    0.96616730    0.41171442    0.00000271    0.60034931
     9    1.01081626    0.00000000    0.00000000    0.00000000    0.27214371
    10    0.00001024    0.00000000    0.00000700    0.00000000    0.00000000
    11    2.54991690    0.00000294    0.00000000    0.00000000    0.00000608
    12    0.00000294    2.64275594    0.00001281    0.00000000    0.00000336
    13    0.00000000    0.00001281    1.08229522    0.27134873    0.00000221
    14    0.00000000    0.00000000    0.27134873    1.49659917    0.00000000
    15    0.00000608    0.00000336    0.00000221    0.00000000    1.12266234
    16    0.00000000    0.00000000    0.00000000    0.00000000    0.24998811
    17    0.00001344    0.00000000    0.00000002    0.00000000    0.00000245
    18    0.00000000    0.00000000    0.00000313    0.00000000    0.00000001
    19    0.38601650    0.00000000    0.00000000    0.00000000    0.00000000
    20    0.00000408    0.00000000    0.00000000    0.00000000    0.00000000
    21    0.42579225    0.48990262    0.00000000    0.00000000    0.00000022
    22    0.00000264    0.00000370    0.00000000    0.00000000    0.00000000
    23    0.00000000    0.39731966    0.00000450    0.00000000    0.00000000
    24    0.00000000    0.00000169    0.00000000    0.00000000    0.00000000
    25    0.00000000    0.00000000    0.00000701    0.58873841    0.00000000
    26    0.00000000    0.00000000    0.00000292    0.63650694    0.00000000
    27    0.00000000    0.00000000    0.00000000    0.00000000    0.00000765
    28    0.00000000    0.00000000    0.00000000    0.00000000    0.00000434
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.00000180
    30    0.00000000    0.00000000    0.00009641    0.00000000    0.00000000
    31    0.00000752    0.00000000    0.00000000    0.00000000    0.00000000
    32    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    33    0.00000000    0.00000235    0.00000000    0.00000000    0.00000000
    34    0.00000399    0.00000000    0.00000000    0.00000000    0.00000000
    35    0.00000000    0.00000030    0.00000000    0.00000000    0.00000000
    36    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
            16            17            18            19            20      
