R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R7;S6 -> S2 + S3;C6H6N10O10 -> N2O3 + C6H6N8O7;O=NN1[CH][C@H]2N([C@H]([C@H]1N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O])N([O])[O]:O=NN([O])[O],O=NN1C=CN([C@H]([CH]1)N(N([O])[O])[CH]/C=N\N([O])[O])N([O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R7*;S2 + S3 -> S6;N2O3 + C6H6N8O7 -> C6H6N10O10;O=NN([O])[O],O=NN1C=CN([C@H]([CH]1)N(N([O])[O])[CH]/C=N\N([O])[O])N([O])[O]:O=NN1[CH][C@H]2N([C@H]([C@H]1N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O])N([O])[O];0.000000e+00;0.000000e+00;1.718124e+11;0
R8;S7 + S106 -> S2 + S99;C6H6N11O11 + NO2 -> N2O3 + C6H6N10O10;O=N[C@H]1[C@H]2N(N([O])[O])[C@H]([C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[N]N([O])[O],[O]N=O:O=NN([O])[O],[O]N([N][C@H]1[C@H]2N(C=CN([C@H](N1N([O])[O])[CH]N2N([O])[O])N([O])[O])N([O])[O])[O];8.602857e+11;3.644457e+10;4.099406e+12;1
R8*;S2 + S99 -> S7 + S106;N2O3 + C6H6N10O10 -> C6H6N11O11 + NO2;O=NN([O])[O],[O]N([N][C@H]1[C@H]2N(C=CN([C@H](N1N([O])[O])[CH]N2N([O])[O])N([O])[O])N([O])[O])[O]:O=N[C@H]1[C@H]2N(N([O])[O])[C@H]([C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])[N]N([O])[O],[O]N=O;0.000000e+00;0.000000e+00;5.466758e+11;0
R9;S8 -> S1;C6H6N10O9 -> C6H6N10O9;O=N[N]/C=C/N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])N([O])[O]:O=N/N=C\[C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O];1.666667e+12;7.060556e+10;7.941947e+12;1
R9*;S1 -> S8;C6H6N10O9 -> C6H6N10O9;O=N/N=C\[C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O]:O=N[N]/C=C/N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;1.997155e+12;0
R10;S9 -> S1 + S2;C6H6N12O12 -> C6H6N10O9 + N2O3;O=N[N][C@H](N(N([O])[O])[O])[CH]N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])N([O])[O]:O=N/N=C\[C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O],O=NN([O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R10*;S1 + S2 -> S9;C6H6N10O9 + N2O3 -> C6H6N12O12;O=N/N=C\[C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O],O=NN([O])[O]:O=N[N][C@H](N(N([O])[O])[O])[CH]N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])N([O])[O];0.000000e+00;0.000000e+00;2.405373e+11;0
R11;S10 -> S9;C6H6N12O12 -> C6H6N12O12;O=N[N][C@H]([C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])N(N([O])[O])[O]:O=N[N][C@H](N(N([O])[O])[O])[CH]N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])N([O])[O];4.166667e+11;1.765139e+10;1.985487e+12;1
R11*;S9 -> S10;C6H6N12O12 -> C6H6N12O12;O=N[N][C@H](N(N([O])[O])[O])[CH]N([C@H](N(N([O])[O])/C=C/[N]N([O])[O])/C=N\N([O])[O])N([O])[O]:O=N[N][C@H]([C@H]1N(C=CN([C@H](N1N([O])[O])/C=N\N([O])[O])N([O])[O])N([O])[O])N(N([O])[O])[O];0.000000e+00;0.000000e+00;2.995732e+13;0
R12;S11 -> S19 + S102;C6H6N11O9 -> N2O + C6H6N9O8;O=N[N][C@H]1N(N([O])[O])[C@H]2[CH]N=C[C@H](N([C@H]1[N]N([O])[O])N([O])[O])N2N([O])[O]:[N]N=O,[O]N([N][C@H]1[CH]N(N([O])[O])[C@H]2N([C@H](N1N([O])[O])C=N[CH]2)N([O])[O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R12*;S19 + S102 -> S11;N2O + C6H6N9O8 -> C6H6N11O9;[N]N=O,[O]N([N][C@H]1[CH]N(N([O])[O])[C@H]2N([C@H](N1N([O])[O])C=N[CH]2)N([O])[O])[O]:O=N[N][C@H]1N(N([O])[O])[C@H]2[CH]N=C[C@H](N([C@H]1[N]N([O])[O])N([O])[O])N2N([O])[O];0.000000e+00;0.000000e+00;1.804030e+13;0
R13;S12 -> S17 + S104;C4H4N4O3 -> NO + C4H8N3O2;O=Nn1ccn(cc1)N([O])[O]:[N]=O,[O]N(n1cc[n]cc1)[O];6.666667e+11;2.824222e+10;3.176779e+12;1
R13*;S17 + S104 -> S12;NO + C4H8N3O2 -> C4H4N4O3;[N]=O,[O]N(n1cc[n]cc1)[O]:O=Nn1ccn(cc1)N([O])[O];0.000000e+00;0.000000e+00;1.640027e+12;0
R14;S13 -> S15;C6H6N12O11 -> C6H6N12O11;[N]=NON(N([O])[O])[CH][C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O]:[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O];5.000000e+12;2.118167e+11;2.382584e+13;1
R14*;S15 -> S13;C6H6N12O11 -> C6H6N12O11;[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O]:[N]=NON(N([O])[O])[CH][C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O];6.896552e+10;2.921609e+09;3.286323e+11;1
R15;S14 -> S0 + S51;C6H6N12O11 -> N2 + C6H6N10O11;[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]([CH]N1N([O])[O])N(N([O])[O])/C=C\[N]N([O])[O])N(N([O])[O])[O]:N#N,[O]N(N1[C@H]([CH]N(N([O])[O])[O])N([C@H]2[C@H]1N(C=CN2N([O])[O])N([O])[O])N([O])[O])[O];2.500000e+12;1.059083e+11;1.191292e+13;1
R15*;S0 + S51 -> S14;N2 + C6H6N10O11 -> C6H6N12O11;N#N,[O]N(N1[C@H]([CH]N(N([O])[O])[O])N([C@H]2[C@H]1N(C=CN2N([O])[O])N([O])[O])N([O])[O])[O]:[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]([CH]N1N([O])[O])N(N([O])[O])/C=C\[N]N([O])[O])N(N([O])[O])[O];0.000000e+00;0.000000e+00;1.541906e+11;0
R16;S14 -> S15;C6H6N12O11 -> C6H6N12O11;[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]([CH]N1N([O])[O])N(N([O])[O])/C=C\[N]N([O])[O])N(N([O])[O])[O]:[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O];5.000000e+12;7.587514e+11;1.600306e+13;2
R16*;S15 -> S14;C6H6N12O11 -> C6H6N12O11;[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]2[C@H](N1N([O])[O])N(C=CN2N([O])[O])N([O])[O])N(N([O])[O])[O]:[N]=N[C@H]([C@H]1N(N([O])[O])[C@H]([CH]N1N([O])[O])N(N([O])[O])/C=C\[N]N([O])[O])N(N([O])[O])[O];6.896552e+10;2.921609e+09;3.286323e+11;1
