t [steps];R0;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;R31;R32;R33;R34;R35;R36;R37;R38;R39;R40;R41;R42;R43;R44;R45;R46;R47;R48;R49;R50;R51;R52;R53;R54;R55;R56;R57;R58;R59;R60;R61;R62;R63;R64;R65;R66;R67;R68;R69;R70;R71;R72;R73;R74;R75;R76;R77;R78;R79;R80;R81;R82;R83;R84;R85;R86;R87;R88;R89;R90;R91;R92;R93;R94;R95;R96;R97;R98;R99;R100;R101;R102;R103;R104;R105;R106;R107;R108;R109;R110;R111;R112;R113;R114;R115;R116;R117;R118;R119;R120;R121;R122;R123;R124
;S0 + S51 -> S50;S0 + S73 -> S13;S0 + S73 -> S50;S1 + S2 -> S10;S2 + S99 -> S2 + S6;S2 + S99 -> S100;S3 -> S12 + S20;S6 -> S2 + S3;S7 + S106 -> S2 + S99;S8 -> S1;S9 -> S1 + S2;S10 -> S9;S11 -> S19 + S102;S12 -> S17 + S104;S13 -> S15;S14 -> S0 + S51;S14 -> S15;S15 -> S0 + S51;S15 -> S50;S16 -> S0 + S74;S18 + S72 -> S97;S19 + S96 + S102 -> S93;S20 + S104 -> S48;S21 + S70 -> S22;S22 + S28 -> S57 + S70;S23 -> S31;S24 -> S32;S24 -> S33;S24 -> S65;S26 + S82 -> S68;S27 -> S2 + S35;S28 + S52 -> S34;S28 -> S90;S29 -> S23;S29 -> S53 + S78;S30 + S53 -> S55;S31 -> S43;S31 -> S69 + S106;S32 + S52 -> S29;S32 -> S28 + S106;S32 -> S36;S32 -> S45;S32 -> S92 + S106;S32 -> S97;S33 -> S2 + S4;S34 -> S5 + S27;S36 -> S28 + S106;S38 -> S2 + S8;S40 -> S18 + S72;S40 -> S42 + S70;S41 -> S37;S42 + S70 -> S67;S43 -> S53 + S78;S44 -> S82;S45 -> S46;S45 -> S66;S45 -> S91;S46 -> S88;S49 -> S25;S49 -> S96;S50 -> S14;S50 -> S79;S51 -> S73;S52 -> S32;S52 -> S49;S52 -> S96;S52 -> S97;S53 + S78 -> S55;S54 -> S50;S55 -> S29;S55 -> S31;S56 -> S61;S57 + S70 -> S63;S58 -> S95 + S106;S59 -> S61;S59 -> S84;S60 -> S56;S60 -> S59;S61 -> S54 + S103;S61 -> S60;S63 -> S21 + S28 + S70;S66 -> S47 + S106;S67 -> S88;S68 -> S22;S69 + S106 -> S26 + S44;S71 -> S90 + S106;S74 -> S83;S78 -> S30;S79 -> S15;S83 -> S75 + S76;S84 -> S105 + S106;S85 -> S49;S85 -> S88;S86 -> S24;S86 -> S32;S87 -> S24;S88 -> S45;S89 -> S71;S90 + S106 -> S89;S91 -> S38;S92 + S106 -> S58;S92 -> S28;S92 -> S39;S93 -> S16 + S98;S94 -> S11 + S103;S95 + S106 -> S94;S95 -> S92;S96 -> S32;S96 -> S40;S96 -> S45;S96 -> S87;S96 -> S88;S96 -> S101 + S106;S97 + S106 -> S59;S97 -> S40;S97 -> S41;S97 -> S85;S97 -> S86;S97 -> S92 + S106;S97 -> S95 + S106;S97 -> S96;S98 -> S2 + S99;S100 -> S7 + S106;S101 + S106 -> S32;S105 + S106 -> S60
;N2 + C6H6N10O11 -> C6H6N12O11;N2 + C6H6N10O11 -> C6H6N12O11;N2 + C6H6N10O11 -> C6H6N12O11;C6H6N10O9 + N2O3 -> C6H6N12O12;N2O3 + C6H6N10O10 -> N2O3 + C6H6N10O10;N2O3 + C6H6N10O10 -> C6H6N12O13;C6H6N8O7 -> C4H4N4O3 + C2H2N4O4;C6H6N10O10 -> N2O3 + C6H6N8O7;C6H6N11O11 + NO2 -> N2O3 + C6H6N10O10;C6H6N10O9 -> C6H6N10O9;C6H6N12O12 -> C6H6N10O9 + N2O3;C6H6N12O12 -> C6H6N12O12;C6H6N11O9 -> N2O + C6H6N9O8;C4H4N4O3 -> NO + C4H8N3O2;C6H6N12O11 -> C6H6N12O11;C6H6N12O11 -> N2 + C6H6N10O11;C6H6N12O11 -> C6H6N12O11;C6H6N12O11 -> N2 + C6H6N10O11;C6H6N12O11 -> C6H6N12O11;C6H6N11O8 -> N2 + C6H6N9O8;N2O2 + C6H6N10O10 -> C6H6N12O12;N2O + C6H6N12O12 + C6H6N9O8 -> C12H12N23O21;C2H2N4O4 + C4H8N3O2 -> C6H6N7O6;C10H10N20O20 + C2H2N4O4 -> C12H12N24O24;C12H12N24O24 + C6H6N11O10 -> C16H16N31O30 + C2H2N4O4;C12H12N24O24 -> C12H12N24O24;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N10O10 + C6H6N14O14 -> C12H12N24O24;C6H6N11O11 -> N2O3 + C6H6N9O8;C6H6N11O10 + C6H6N12O12 -> C12H12N23O22;C6H6N11O10 -> C6H6N11O10;C12H12N24O24 -> C12H12N24O24;C12H12N24O24 -> C6H6N10O10 + C6H6N14O14;C6H6N14O14 + C6H6N10O10 -> C12H12N24O24;C12H12N24O24 -> C12H12N24O24;C12H12N24O24 -> C12H12N23O22 + NO2;C6H6N12O12 + C6H6N12O12 -> C12H12N24O24;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> N2O3 + C6H6N10O9;C12H12N23O22 -> C6H6N12O11 + C6H6N11O11;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> N2O3 + C6H6N10O9;C6H6N12O12 -> N2O2 + C6H6N10O10;C6H6N12O12 -> C4H4N8O8 + C2H2N4O4;C6H6N12O12 -> C6H6N12O12;C4H4N8O8 + C2H2N4O4 -> C6H6N12O12;C12H12N24O24 -> C6H6N10O10 + C6H6N14O14;C6H6N14O14 -> C6H6N14O14;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O11 -> C6H6N12O11;C6H6N12O11 -> C6H6N12O11;C6H6N10O11 -> C6H6N10O11;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N10O10 + C6H6N14O14 -> C12H12N24O24;C6H6N12O11 -> C6H6N12O11;C12H12N24O24 -> C12H12N24O24;C12H12N24O24 -> C12H12N24O24;C6H6N13O14 -> C6H6N13O14;C16H16N31O30 + C2H2N4O4 -> C18H18N35O34;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N13O14 -> C6H6N13O14;C6H6N13O14 -> C6H6N13O14;C6H6N13O14 -> C6H6N13O14;C6H6N13O14 -> C6H6N13O14;C6H6N13O14 -> C6H6N12O11 + NO3;C6H6N13O14 -> C6H6N13O14;C18H18N35O34 -> C10H10N20O20 + C6H6N11O10 + C2H2N4O4;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C12H12N24O24 -> C12H12N24O24;C12H12N23O22 + NO2 -> C6H6N10O10 + C6H6N14O14;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N9O8 -> C6H6N9O8;C6H6N14O14 -> C6H6N14O14;C6H6N12O11 -> C6H6N12O11;C6H6N9O8 -> C4H4N5O4 + C2H2N4O4;C6H6N13O14 -> C6H6N12O12 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 + NO2 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N11O10 + NO2 -> C6H6N12O12;C6H6N11O10 -> C6H6N11O10;C6H6N11O10 -> C6H6N11O10;C12H12N23O21 -> C6H6N11O8 + C6H6N12O13;C6H6N12O12 -> C6H6N11O9 + NO3;C6H6N11O10 + NO2 -> C6H6N12O12;C6H6N11O10 -> C6H6N11O10;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 + NO2 -> C6H6N13O14;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N12O12;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N11O10 + NO2;C6H6N12O12 -> C6H6N12O12;C6H6N12O13 -> N2O3 + C6H6N10O10;C6H6N12O13 -> C6H6N11O11 + NO2;C6H6N11O10 + NO2 -> C6H6N12O12;C6H6N12O12 + NO2 -> C6H6N13O14
