R<ID>;S<ID>'s;Formula's;SMILES;k;klo;kup;N
R51;S40 -> S37 + S54;C3H6N5O4 -> C3H6N4O2 + NO2;[O]N(N1[CH]NCN(C1)N([O])[O])[O]:[O]N(N1CNC=NC1)[O],[O]N=O;1.884058e+12;1.032103e+12;3.110671e+12;13
R51*;S37 + S54 -> S40;C3H6N4O2 + NO2 -> C3H6N5O4;[O]N(N1CNC=NC1)[O],[O]N=O:[O]N(N1[CH]NCN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;7.973613e+07;0
R52;S42 -> S16 + S50;C3H6N7O8 -> C3H6N6O5 + NO3;[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O]:O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N([O])[O];1.000000e+13;1.517503e+12;3.200611e+13;2
R52*;S16 + S50 -> S42;C3H6N6O5 + NO3 -> C3H6N7O8;O=NN1CN(CN(C1)N([O])[O])N([O])[O],[O]N([O])[O]:[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O];0.000000e+00;0.000000e+00;1.965174e+10;0
R53;S43 + S54 -> S42;C3H6N6O6 + NO2 -> C3H6N7O8;[O]N(ON(N1C[N]CN(C1)N([O])[O])[O])[O],[O]N=O:[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O];7.820779e+10;3.313143e+09;3.726733e+11;1
R53*;S42 -> S43 + S54;C3H6N7O8 -> C3H6N6O6 + NO2;[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O]:[O]N(ON(N1C[N]CN(C1)N([O])[O])[O])[O],[O]N=O;0.000000e+00;0.000000e+00;1.497866e+13;0
R54;S45 -> S3;C3H6N6O5 -> C3H6N6O5;[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O]:C=NCN(N([O])[O])C/N=N/ON([O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R54*;S3 -> S45;C3H6N6O5 -> C3H6N6O5;C=NCN(N([O])[O])C/N=N/ON([O])[O]:[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O];0.000000e+00;0.000000e+00;5.991465e+12;0
R55;S48 -> S36;C3H5N5O4 -> C3H5N5O4;[O]N([N]/C=N\CN(N([O])[O])[CH2])[O]:[O]N(N1CN=CN(C1)N([O])[O])[O];1.000000e+13;4.236333e+11;4.765168e+13;1
R55*;S36 -> S48;C3H5N5O4 -> C3H5N5O4;[O]N(N1CN=CN(C1)N([O])[O])[O]:[O]N([N]/C=N\CN(N([O])[O])[CH2])[O];0.000000e+00;0.000000e+00;1.413081e+11;0
R56;S52 + S54 -> S19;C7H5N3O6 + NO2 -> C7H5N4O8;[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O],[O]N=O:O=NO[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O];1.906576e+06;8.076891e+04;9.085155e+06;1
R56*;S19 -> S52 + S54;C7H5N4O8 -> C7H5N3O6 + NO2;O=NO[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O]:[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O],[O]N=O;0.000000e+00;0.000000e+00;2.496444e+12;0
