t [steps];S0;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S40;S41;S42;S43;S44;S45;S46;S47;S48;S49;S50;S51;S52;S53;S54;S55
;C#N;C1[N]CN=CN1N=O;C=NCN(N(O)[O])/C=N\N1C=NCN(C1)N([O])[O];C=NCN(N([O])[O])C/N=N/ON([O])[O];C=NCN(N([O])[O])C[N]N([O])[O];C=NCN(N([O])[O])[CH2];C=NCN(N([O])[O])[CH]NN([O])[O];C=NCN(N([O])[O])[CH]NN1C=NCN(C1)N([O])[O];C=NCN=CN=N[O];C=NCNN([O])[O];C=NC[N]N([O])[O];C=NN([O])[O];C=[N];N#N;N=CN(N([O])[O])CN=C;O=NN1C=NCN(C1)N([O])[O];O=NN1CN(CN(C1)N([O])[O])N([O])[O];O=NN1C[N]CN(C1)N([O])[O];O=NN1[CH]N(CN(C1)N([O])[O])N([O])[O];O=NO[C@]1(C=C(C=C([C]1C)N([O])[O])N([O])[O])N([O])[O];ON(N1[CH]N(CN(C1)N([O])[O])N([O])[O])[O];ON=O;[CH2]N=C;[CH2]NN([O])[O];[CH]=NCN(N([O])[O])CNN([O])[O];[H];[OH];[O]N(/N=C\NCN(N([O])[O])[CH2])[O];[O]N(C1=C(C)C(=C[C@]([CH]1)(ON(c1cc(cc(c1C)N([O])[O])N([O])[O])[O])N([O])[O])N([O])[O])[O];[O]N(C1=CC(=C([C@]([CH]1)([O])N([O])[O])C)N([O])[O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])O)C)N([O])[O])[O];[O]N(C1=C[C](C(=C([CH]1)N([O])[O])C)N([O])[O])[O];[O]N(N/C=N\N([O])[O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])ON1CN(CN(C1)N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])O[C@]1([CH]C(=CC(=C1C)N([O])[O])N([O])[O])N([O])[O];[O]N(N1CN(CN(C1)N([O])[O])N([O])[O])[O];[O]N(N1CN=CN(C1)N([O])[O])[O];[O]N(N1CNC=NC1)[O];[O]N(N1C[N]C=NC1)[O];[O]N(N1C[N]CN(C1)N([O])[O])[O];[O]N(N1[CH]NCN(C1)N([O])[O])[O];[O]N(OC1=C(C)[C](C=C([CH]1)N([O])[O])N([O])[O])[O];[O]N(ON(N1CN(CN(C1)N([O])[O])N([O])[O])[O])[O];[O]N(ON(N1C[N]CN(C1)N([O])[O])[O])[O];[O]N(ON([C]1C=C([CH]C(=C1C)N([O])[O])N([O])[O])[O])[O];[O]N(O[N]N1C[N]CN(C1)N([O])[O])[O];[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])O)C)[O];[O]N([C]1C=C(N([O])[O])[C](C(=C1)N([O])[O])C)[O];[O]N([N]/C=N\CN(N([O])[O])[CH2])[O];[O]N([N]CN(N([O])[O])[CH2])[O];[O]N([O])[O];[O]N(c1cc(N([O])[O])c(c(c1)N(O)[O])C)[O];[O]N(c1cc(N([O])[O])c(c(c1)N([O])[O])C)[O];[O]N1CN(CN(C1)N([O])[O])N([O])[O];[O]N=O;[O]N[O]
352000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;144;1;7;2;27;0;0;0;0;0;0;0;28;0;0;2;0;133;0;53;1
357000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;143;1;7;2;28;0;0;0;0;0;0;0;28;0;0;2;0;133;0;54;1
361000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;142;1;7;2;29;0;0;0;0;0;0;0;28;0;0;2;0;133;0;55;1
365000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;0;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;1;0;141;1;7;2;28;0;0;0;0;0;0;0;28;0;0;2;0;133;0;55;1
366000.0;1;0;0;0;4;0;0;0;0;1;1;8;3;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;7;2;28;0;0;0;0;0;0;0;28;0;0;2;0;133;1;55;1
367000.0;1;0;0;0;4;0;0;0;0;1;0;9;4;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;7;2;28;0;0;0;0;0;0;0;28;0;0;2;0;133;1;55;1
368000.0;1;0;0;0;4;0;0;0;0;1;1;10;4;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;7;2;27;0;0;0;0;0;0;0;28;0;0;2;0;133;1;55;1
371000.0;1;0;0;0;4;0;0;0;0;1;2;11;4;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;8;2;25;0;0;0;0;0;0;0;28;0;0;2;0;133;1;56;1
372000.0;1;0;0;0;4;0;0;0;0;1;2;11;4;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;8;2;24;1;0;0;0;0;0;0;28;0;0;2;0;133;1;56;1
373000.0;1;0;0;0;4;0;0;0;0;1;2;11;4;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;9;2;24;0;0;0;0;0;0;0;28;0;0;2;0;133;1;57;1
380000.0;1;0;0;0;5;0;0;0;0;1;1;10;4;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;9;2;24;0;0;0;0;0;0;0;28;0;0;2;0;133;1;57;1
384000.0;1;0;0;0;6;0;0;0;0;1;0;11;5;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;141;1;9;2;23;0;0;0;0;0;0;0;28;0;0;2;0;133;1;57;1
385000.0;1;0;0;0;5;0;0;0;0;1;0;11;5;1;0;1;1;0;0;0;0;2;1;0;0;1;1;0;0;0;0;31;0;0;0;140;1;9;3;24;0;0;0;0;0;0;0;28;0;0;2;0;133;1;59;1
386000.0;1;0;0;0;5;0;0;0;0;1;0;11;5;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;139;0;10;3;25;0;0;0;0;0;0;0;28;0;0;2;0;133;1;61;1
392000.0;1;0;0;0;4;0;0;0;0;1;1;12;5;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;139;0;10;3;25;0;0;0;0;0;0;0;28;0;0;2;0;133;1;61;1
398000.0;1;0;0;0;3;0;0;0;0;1;2;13;5;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;139;0;10;3;25;0;0;0;0;0;0;0;28;0;0;2;0;133;1;61;1
403000.0;1;0;0;0;2;0;0;0;0;1;2;13;5;1;1;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;138;0;10;3;26;0;0;0;0;0;0;0;28;0;0;2;0;133;1;63;1
404000.0;1;0;0;0;2;0;1;0;0;1;2;13;5;1;0;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;138;0;10;3;26;0;0;0;0;0;0;0;28;0;0;2;0;133;1;62;1
414000.0;1;0;0;0;2;0;0;0;0;1;2;13;5;1;0;1;1;0;0;0;0;2;2;0;0;0;1;0;0;0;0;31;1;0;0;138;0;10;3;26;0;0;0;0;0;0;0;28;0;0;2;0;133;1;62;1
415000.0;1;0;0;0;2;0;0;0;0;1;2;13;5;1;1;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;138;0;10;3;26;0;0;0;0;0;0;0;28;0;0;2;0;133;1;63;1
423000.0;1;0;0;0;2;0;0;0;0;1;2;13;5;1;1;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;10;3;26;1;0;0;0;0;0;0;28;0;0;2;0;133;1;64;1
427000.0;1;0;0;0;2;0;0;0;0;1;1;14;6;1;1;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;11;3;25;1;0;0;0;0;0;0;28;0;0;2;0;133;1;65;1
429000.0;1;0;0;0;1;0;0;0;0;1;2;15;6;1;1;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;10;4;25;1;0;0;0;0;0;0;28;0;0;2;1;132;1;65;1
430000.0;1;0;0;0;1;0;0;0;0;1;2;15;6;1;1;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;11;4;25;0;0;0;0;0;0;0;28;0;0;2;1;132;1;66;1
432000.0;2;0;0;0;1;0;0;0;0;1;1;16;6;1;1;1;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;12;4;24;0;0;0;0;0;0;1;27;0;0;2;1;132;1;67;1
435000.0;2;1;0;0;1;0;0;0;0;1;1;16;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;12;4;24;0;0;0;0;0;0;1;27;0;0;2;1;132;1;68;1
441000.0;2;1;0;0;2;0;0;0;0;1;1;16;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;12;4;23;0;0;0;0;0;0;1;27;0;0;2;1;132;1;68;1
442000.0;2;1;0;0;2;0;0;0;0;1;1;16;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;30;0;0;0;137;0;12;4;23;0;0;0;0;1;0;1;27;0;0;2;1;132;1;67;1
445000.0;2;1;0;0;1;0;0;0;0;1;2;17;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;30;0;0;0;137;0;12;4;23;0;0;0;0;1;0;1;27;0;0;2;1;132;1;67;1
447000.0;2;1;0;0;1;0;0;0;0;1;2;17;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;137;0;12;4;23;0;0;0;0;0;0;1;27;0;0;2;1;132;1;68;1
448000.0;2;1;0;0;1;0;0;0;0;1;2;17;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;136;0;12;4;24;0;0;0;0;0;0;1;27;0;0;2;1;132;1;69;1
450000.0;2;1;0;0;2;0;0;0;0;1;2;17;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;136;0;12;4;23;0;0;0;0;0;0;1;27;0;0;2;1;132;1;69;1
451000.0;2;1;0;0;1;0;0;0;0;1;3;18;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;136;0;12;4;23;0;0;0;0;0;0;1;27;0;0;2;1;132;1;69;1
453000.0;2;1;0;0;1;0;0;0;0;1;3;18;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;135;0;12;4;24;0;0;0;0;0;0;1;27;0;0;2;1;132;1;70;1
457000.0;2;1;0;0;2;0;0;0;0;1;3;18;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;135;0;12;4;23;0;0;0;0;0;0;1;27;0;0;2;1;132;1;70;1
458000.0;2;1;0;0;2;0;0;0;0;1;3;18;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;134;0;12;4;24;0;0;0;0;0;0;1;27;0;0;2;1;132;1;71;1
459000.0;2;1;0;0;2;0;0;0;0;1;3;18;6;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;133;0;12;4;25;0;0;0;0;0;0;1;27;0;0;2;1;132;1;72;1
466000.0;2;1;0;0;2;0;0;0;0;1;2;19;7;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;133;0;12;4;25;0;0;0;0;0;0;1;27;0;0;2;1;132;1;72;1
468000.0;2;1;0;0;1;0;0;0;0;1;3;20;7;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;133;0;12;4;25;0;0;0;0;0;0;1;27;0;0;2;1;132;1;72;1
472000.0;2;1;0;0;1;0;0;0;0;1;3;20;7;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;132;0;12;4;26;0;0;0;0;0;0;1;27;0;0;2;1;132;1;73;1
474000.0;2;1;0;0;2;0;0;0;0;1;3;20;7;1;1;0;1;0;0;0;0;2;1;0;0;0;1;0;0;0;0;31;0;0;0;132;0;12;4;24;1;0;0;0;0;0;1;27;0;0;2;1;132;1;73;1
480000.0;2;0;0;0;2;0;0;0;1;1;3;20;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;132;0;11;5;23;2;0;0;0;0;0;1;27;0;0;2;1;132;1;72;1
481000.0;2;0;0;0;2;0;0;0;1;1;3;20;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;132;0;10;6;23;2;0;0;0;0;0;1;27;0;0;2;2;131;1;72;1
483000.0;2;0;0;0;2;0;0;0;1;1;3;20;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;132;0;11;6;23;1;0;0;0;0;0;1;27;0;0;2;2;131;1;73;1
484000.0;2;0;0;0;2;0;0;0;1;1;3;20;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;131;0;11;6;24;1;0;0;0;0;0;1;27;0;0;2;2;131;1;74;1
487000.0;2;0;0;0;2;0;0;0;1;1;4;21;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;131;0;11;6;23;1;0;0;0;0;0;1;27;0;0;2;2;131;1;74;1
490000.0;2;0;0;0;2;0;0;0;1;1;4;21;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;1;0;0;0;31;0;0;0;130;0;11;6;24;0;0;0;0;0;0;1;27;0;0;2;2;131;1;75;1
491000.0;2;0;0;0;2;0;0;0;1;1;4;21;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;130;0;13;6;23;0;0;0;0;0;0;1;27;0;0;2;2;131;1;77;1
496000.0;2;0;0;0;3;0;0;0;1;1;4;21;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;130;0;13;6;22;0;0;0;0;0;0;1;27;0;0;2;2;131;1;77;1
500000.0;2;0;0;0;2;0;0;0;1;1;5;22;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;130;0;13;6;22;0;0;0;0;0;0;1;27;0;0;2;2;131;1;77;1
505000.0;2;0;0;0;3;0;0;0;1;1;5;22;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;130;0;13;6;21;0;0;0;0;0;0;1;27;0;0;2;2;131;1;77;1
506000.0;2;0;0;0;3;0;0;0;1;1;5;22;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;129;0;13;6;21;0;0;0;1;0;0;1;27;0;0;2;2;131;1;77;1
507000.0;2;0;0;0;4;0;0;0;1;1;5;22;7;1;1;0;1;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;129;0;13;6;20;0;0;1;0;0;0;1;27;0;0;2;2;131;1;76;1
508000.0;2;0;0;0;5;0;0;0;1;1;5;22;7;1;1;0;2;0;0;0;0;3;1;0;0;0;1;0;0;0;0;31;0;0;0;129;0;13;6;19;0;0;0;0;0;0;1;27;0;0;3;2;131;1;76;1
512000.0;2;0;0;0;5;0;0;0;1;1;5;22;7;1;1;0;2;0;0;0;0;3;1;0;0;0;1;0;0;0;0;30;0;0;1;128;0;13;6;19;0;0;0;0;0;0;1;27;0;0;3;2;131;1;76;1
513000.0;2;0;0;0;5;0;0;0;1;1;5;22;7;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;0;1;0;30;0;0;0;127;0;13;6;20;0;0;0;0;0;0;1;27;0;0;3;2;131;1;77;1
514000.0;2;0;0;0;5;0;0;0;1;1;5;22;7;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;1;0;30;0;0;0;127;0;13;6;20;0;0;0;0;0;0;1;27;0;0;3;2;129;1;77;1
519000.0;2;0;0;0;5;0;0;0;1;1;4;23;8;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;1;0;30;0;0;0;127;0;13;6;20;0;0;0;0;0;0;1;27;0;0;3;2;129;1;77;1
526000.0;2;0;0;0;4;0;0;0;1;1;5;24;8;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;1;0;30;0;0;0;127;0;13;6;20;0;0;0;0;0;0;1;27;0;0;3;2;129;1;77;1
531000.0;2;0;0;0;4;0;0;0;1;1;5;24;8;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;126;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;129;1;78;1
532000.0;2;0;0;0;4;0;0;0;1;1;5;24;8;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;125;0;13;6;22;0;1;0;0;0;0;1;27;0;0;3;2;129;1;79;1
535000.0;2;0;0;0;5;0;0;0;1;1;5;24;8;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;125;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;129;1;79;1
536000.0;2;0;0;0;5;0;0;0;1;1;4;25;9;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;125;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;129;1;79;1
542000.0;2;0;0;0;4;0;0;0;1;1;4;27;10;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;125;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;129;1;79;1
543000.0;2;0;0;0;4;0;0;0;1;1;5;26;9;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;125;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;129;1;79;1
544000.0;2;0;0;0;3;0;0;0;1;1;5;26;10;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;125;0;13;6;21;0;1;0;0;0;0;1;27;0;1;3;2;129;1;79;1
545000.0;2;0;0;0;3;0;0;0;1;1;6;27;9;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;125;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;129;1;79;1
546000.0;2;0;0;0;3;0;0;0;1;1;6;27;9;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;124;0;13;6;22;0;1;0;0;0;0;1;27;0;0;3;2;129;1;80;1
547000.0;2;0;0;0;3;0;0;0;1;1;5;28;10;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;0;30;0;0;0;124;0;13;6;22;0;1;0;0;0;0;1;27;0;0;3;2;129;1;80;1
548000.0;2;0;0;0;3;0;0;0;1;1;5;28;10;1;1;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;124;0;12;7;22;0;1;0;0;0;0;1;27;0;0;3;2;129;1;80;1
554000.0;2;0;0;0;3;0;0;1;1;1;5;28;10;1;0;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;124;0;12;6;21;1;1;0;0;0;0;1;27;0;0;3;2;129;1;80;1
555000.0;2;0;1;0;2;0;0;0;1;1;6;29;10;1;0;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;124;0;12;6;21;1;1;0;0;0;0;1;27;0;0;3;2;129;1;80;1
558000.0;2;0;1;0;2;0;0;0;1;1;6;29;10;1;0;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;124;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;129;1;81;1
564000.0;2;0;1;0;2;0;0;0;1;1;6;29;10;1;0;0;3;0;0;0;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;123;0;13;6;22;0;1;0;0;0;0;1;27;0;0;3;2;129;1;82;1
568000.0;2;0;1;0;2;0;0;0;1;1;6;29;10;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;123;0;13;6;22;0;1;0;0;0;0;1;27;0;0;3;2;128;1;81;1
569000.0;2;0;1;0;2;0;0;0;1;1;7;30;10;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;123;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;128;1;81;1
570000.0;2;0;1;0;3;0;0;0;1;1;6;29;10;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;123;0;13;6;21;0;1;0;0;0;0;1;27;0;0;3;2;128;1;81;1
571000.0;2;0;1;0;3;0;0;0;1;1;6;29;10;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;122;0;13;6;22;0;1;0;0;0;0;1;27;0;0;3;2;128;1;82;1
573000.0;2;0;1;0;3;0;0;0;1;1;6;29;10;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;121;0;13;6;22;1;1;0;0;0;0;1;27;0;0;3;2;128;1;83;1
574000.0;2;0;1;0;3;0;0;0;1;1;5;30;11;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;121;0;13;6;22;1;1;0;0;0;0;1;27;0;0;3;2;128;1;83;1
577000.0;2;0;1;0;3;0;0;0;1;1;5;30;11;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;121;0;14;6;22;0;1;0;0;0;0;1;27;0;0;3;2;128;1;84;1
578000.0;2;0;1;0;3;0;0;0;1;1;5;30;11;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;121;0;14;6;21;1;1;0;0;0;0;1;27;0;0;3;2;128;1;84;1
579000.0;2;0;1;0;3;0;0;0;1;1;5;30;11;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;1;0;1;29;0;0;0;121;0;15;6;21;0;1;0;0;0;0;1;27;0;0;3;2;128;1;85;1
580000.0;2;0;1;0;3;0;0;0;1;1;5;30;11;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;0;0;1;29;0;0;0;121;0;15;6;21;0;1;0;0;0;0;1;27;0;0;3;2;130;1;85;1
580000.0;2;0;1;0;3;0;0;0;1;1;5;30;11;1;0;0;3;0;0;1;0;3;1;0;0;0;1;0;0;0;1;29;0;0;0;121;0;15;6;21;0;1;0;0;0;0;1;27;0;0;3;2;130;1;85;1
