 ************************ Laplacian bond order matrix ************************
             1             2             3             4             5      
     1    0.79056461    0.00000000    0.00000000    0.00000000    0.00000000
     2    0.00000000    0.72710160    0.00000000    0.00000000    0.00000000
     3    0.00000000    0.00000000    0.78791821    0.00000000    0.00000000
     4    0.00000000    0.00000000    0.00000000    0.71613195    0.00000000
     5    0.00000000    0.00000000    0.00000000    0.00000000    0.73476177
     6    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     7    0.79047246    0.00000858    0.00000000    0.00000000    0.00000000
     8    0.00005180    0.72704932    0.00000000    0.00000000    0.00000000
     9    0.00000000    0.00000000    0.78779934    0.00000438    0.00000000
    10    0.00000000    0.00000000    0.00001110    0.71599636    0.00000000
    11    0.00000000    0.00000000    0.00000000    0.00000000    0.73466885
    12    0.00000000    0.00000000    0.00000000    0.00000000    0.00001507
    13    0.00000000    0.00001551    0.00000000    0.00000000    0.00000000
    14    0.00000000    0.00002758    0.00000000    0.00000000    0.00000386
    15    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    16    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    17    0.00000000    0.00000003    0.00000000    0.00000000    0.00000001
    18    0.00000000    0.00000000    0.00000000    0.00010014    0.00007162
    19    0.00002439    0.00000000    0.00000000    0.00003096    0.00000000
    20    0.00001590    0.00000000    0.00002000    0.00000000    0.00000000
    21    0.00000000    0.00000000    0.00008553    0.00000000    0.00000000
    22    0.00000000    0.00000000    0.00000000    0.00000003    0.00000000
    23    0.00000000    0.00000003    0.00000000    0.00000000    0.00000000
    24    0.00000000    0.00000000    0.00000006    0.00000000    0.00000000
    25    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    26    0.00000005    0.00000000    0.00000000    0.00000000    0.00000000
    27    0.00000000    0.00000048    0.00000000    0.00000000    0.00000000
    28    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    30    0.00000000    0.00000000    0.00000218    0.00000000    0.00000000
    31    0.00000000    0.00000000    0.00000000    0.00000000    0.00000014
    32    0.00000000    0.00000000    0.00000000    0.00000009    0.00000000
    33    0.00000000    0.00000007    0.00000000    0.00000000    0.00000000
    34    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    35    0.00000000    0.00000000    0.00000000    0.00000000    0.00000222
    36    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
             6             7             8             9            10      
     1    0.00000000    0.79047246    0.00005180    0.00000000    0.00000000
     2    0.00000000    0.00000858    0.72704932    0.00000000    0.00000000
     3    0.00000000    0.00000000    0.00000000    0.78779934    0.00001110
     4    0.00000000    0.00000000    0.00000000    0.00000438    0.71599636
     5    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     6    0.71215328    0.00000000    0.00000000    0.00000000    0.00000000
     7    0.00000000    2.70143778    0.96034865    0.00001467    0.00001182
     8    0.00000000    0.96034865    2.66335455    0.00000000    0.00000000
     9    0.00000000    0.00001467    0.00000000    2.71600394    0.95257859
    10    0.00000000    0.00001182    0.00000000    0.95257859    2.52683449
    11    0.00000775    0.00000000    0.00000847    0.00000000    0.00000756
    12    0.71208967    0.00000000    0.00000816    0.00000675    0.00000000
    13    0.00001467    0.00000624    0.42554832    0.00000000    0.00000000
    14    0.00000000    0.00000886    0.55032746    0.00000000    0.00000000
    15    0.00000000    0.00000172    0.00000000    0.00000000    0.00000088
    16    0.00000000    0.00000193    0.00000000    0.00000219    0.00000000
    17    0.00000000    0.00000000    0.00000204    0.00000000    0.00000000
    18    0.00000000    0.00000000    0.00000000    0.00000544    0.45831366
    19    0.00000000    0.52262924    0.00000360    0.00001621    0.39989486
    20    0.00000000    0.42793222    0.00000364    0.47755734    0.00001183
    21    0.00003187    0.00000000    0.00000000    0.49801573    0.00000655
    22    0.00000000    0.00000000    0.00000000    0.00000000    0.00000126
    23    0.00000003    0.00000000    0.00000221    0.00000000    0.00000000
    24    0.00000001    0.00000000    0.00000000    0.00000211    0.00000000
    25    0.00000000    0.00000018    0.00000002    0.00000000    0.00000000
    26    0.00000000    0.00000122    0.00000074    0.00000000    0.00000000
    27    0.00000000    0.00000000    0.00000009    0.00000000    0.00000000
    28    0.00000000    0.00000000    0.00000000    0.00000034    0.00000000
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    30    0.00000000    0.00000000    0.00000000    0.00000085    0.00000000
    31    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    32    0.00000000    0.00000000    0.00000000    0.00000000    0.00000001
    33    0.00000000    0.00000000    0.00000002    0.00000000    0.00000000
    34    0.00000867    0.00000000    0.00000000    0.00000000    0.00000000
    35    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    36    0.00000061    0.00000000    0.00000000    0.00000000    0.00000000
            11            12            13            14            15      
     1    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     2    0.00000000    0.00000000    0.00001551    0.00002758    0.00000000
     3    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     4    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     5    0.73466885    0.00001507    0.00000000    0.00000386    0.00000000
     6    0.00000775    0.71208967    0.00001467    0.00000000    0.00000000
     7    0.00000000    0.00000000    0.00000624    0.00000886    0.00000172
     8    0.00000847    0.00000816    0.42554832    0.55032746    0.00000000
     9    0.00000000    0.00000675    0.00000000    0.00000000    0.00000000
    10    0.00000756    0.00000000    0.00000000    0.00000000    0.00000088
    11    2.64189320    1.06932647    0.00000868    0.27780106    0.00000000
    12    1.06932647    2.61907067    0.33142160    0.00000747    0.00000000
    13    0.00000868    0.33142160    0.98771476    0.00000670    0.00000000
    14    0.27780106    0.00000747    0.00000670    1.05926494    0.00000091
    15    0.00000000    0.00000000    0.00000000    0.00000091    1.42078802
    16    0.00000000    0.00000000    0.00002569    0.00000000    0.00000000
    17    0.00000097    0.00000000    0.00000000    0.23101121    0.00000000
    18    0.56005424    0.00000840    0.00000000    0.00000139    0.00000000
    19    0.00000000    0.00000000    0.00000000    0.00000002    0.23642791
    20    0.00000000    0.00000000    0.00000002    0.00000000    0.00000000
    21    0.00000581    0.50618021    0.00000166    0.00000000    0.00000000
    22    0.00000151    0.00000000    0.00000000    0.00000000    0.00000003
    23    0.00000000    0.00000105    0.23065615    0.00000000    0.00000000
    24    0.00000000    0.00000199    0.00000000    0.00000000    0.00000000
    25    0.00000000    0.00000000    0.00000075    0.00000000    0.00000000
    26    0.00000000    0.00000000    0.00000000    0.00006126    0.57670118
    27    0.00000000    0.00000000    0.00000000    0.00000334    0.00000000
    28    0.00000000    0.00000000    0.00000005    0.00000000    0.00000000
    29    0.00000000    0.00000000    0.00000000    0.00000000    0.60765539
    30    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    31    0.00000111    0.00000000    0.00000000    0.00000008    0.00000000
    32    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    33    0.00000000    0.00000000    0.00000399    0.00000000    0.00000000
    34    0.00000000    0.00000235    0.00000472    0.00000000    0.00000000
    35    0.00000072    0.00000000    0.00000000    0.00000374    0.00000000
    36    0.00000000    0.00000147    0.00000000    0.00000000    0.00000000
            16            17            18            19            20      
     1    0.00000000    0.00000000    0.00000000    0.00002439    0.00001590
     2    0.00000000    0.00000003    0.00000000    0.00000000    0.00000000
     3    0.00000000    0.00000000    0.00000000    0.00000000    0.00002000
     4    0.00000000    0.00000000    0.00010014    0.00003096    0.00000000
     5    0.00000000    0.00000001    0.00007162    0.00000000    0.00000000
     6    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     7    0.00000193    0.00000000    0.00000000    0.52262924    0.42793222
     8    0.00000000    0.00000204    0.00000000    0.00000360    0.00000364
     9    0.00000219    0.00000000    0.00000544    0.00001621    0.47755734
    10    0.00000000    0.00000000    0.45831366    0.39989486    0.00001183
    11    0.00000000    0.00000097    0.56005424    0.00000000    0.00000000
    12    0.00000000    0.00000000    0.00000840    0.00000000    0.00000000
    13    0.00002569    0.00000000    0.00000000    0.00000000    0.00000002
    14    0.00000000    0.23101121    0.00000139    0.00000002    0.00000000
    15    0.00000000    0.00000000    0.00000000    0.23642791    0.00000000
    16    1.43486936    0.00000000    0.00000000    0.00000000    0.26542642
    17    0.00000000    1.42430777    0.00000000    0.00000000    0.00000000
    18    0.00000000    0.00000000    1.24292613    0.00000165    0.00000000
    19    0.00000000    0.00000000    0.00000165    1.15904609    0.00001125
    20    0.26542642    0.00000000    0.00000000    0.00001125    1.17098640
    21    0.00000001    0.00000000    0.00000007    0.00000000    0.00000174
    22    0.00000000    0.00000000    0.22436197    0.00000000    0.00000000
    23    0.00000000    0.00000001    0.00000000    0.00000000    0.00000000
    24    0.00000000    0.00000000    0.00000016    0.00000000    0.00000000
    25    0.56218683    0.00000000    0.00000000    0.00000000    0.00000318
    26    0.00000000    0.00000000    0.00000000    0.00000389    0.00000000
    27    0.00000000    0.57493514    0.00000000    0.00000000    0.00000000
    28    0.60722629    0.00000000    0.00000000    0.00000000    0.00000286
    29    0.00000000    0.00000000    0.00000000    0.00000212    0.00000000
    30    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    31    0.00000000    0.00000000    0.00000315    0.00000000    0.00000000
    32    0.00000000    0.00000000    0.00000426    0.00000000    0.00000000
    33    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    34    0.00000000    0.00000006    0.00000000    0.00000000    0.00000000
    35    0.00000000    0.61835830    0.00000000    0.00000000    0.00000000
    36    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
            21            22            23            24            25      
     1    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     2    0.00000000    0.00000000    0.00000003    0.00000000    0.00000000
     3    0.00008553    0.00000000    0.00000000    0.00000006    0.00000000
     4    0.00000000    0.00000003    0.00000000    0.00000000    0.00000000
     5    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
     6    0.00003187    0.00000000    0.00000003    0.00000001    0.00000000
     7    0.00000000    0.00000000    0.00000000    0.00000000    0.00000018
     8    0.00000000    0.00000000    0.00000221    0.00000000    0.00000002
     9    0.49801573    0.00000000    0.00000000    0.00000211    0.00000000
    10    0.00000655    0.00000126    0.00000000    0.00000000    0.00000000
    11    0.00000581    0.00000151    0.00000000    0.00000000    0.00000000
    12    0.50618021    0.00000000    0.00000105    0.00000199    0.00000000
    13    0.00000166    0.00000000    0.23065615    0.00000000    0.00000075
    14    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    15    0.00000000    0.00000003    0.00000000    0.00000000    0.00000000
    16    0.00000001    0.00000000    0.00000000    0.00000000    0.56218683
    17    0.00000000    0.00000000    0.00000001    0.00000000    0.00000000
    18    0.00000007    0.22436197    0.00000000    0.00000016    0.00000000
    19    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    20    0.00000174    0.00000000    0.00000000    0.00000000    0.00000318
    21    1.23606045    0.00000000    0.00000000    0.23169611    0.00000000
    22    0.00000000    1.42433098    0.00000000    0.00000000    0.00000000
    23    0.00000000    0.00000000    1.45968207    0.00000000    0.00000000
    24    0.23169611    0.00000000    0.00000000    1.36040722    0.00000000
    25    0.00000000    0.00000000    0.00000000    0.00000000    0.56220487
    26    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    27    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    28    0.00002830    0.00000000    0.00000000    0.00000000    0.00001390
    29    0.00000000    0.00019783    0.00000000    0.00000000    0.00000000
    30    0.00000299    0.00000000    0.00000000    0.58630814    0.00000000
    31    0.00000000    0.63186169    0.00000000    0.00000000    0.00000000
    32    0.00000000    0.56790666    0.00000000    0.00000000    0.00000000
    33    0.00000000    0.00000000    0.62195834    0.00000000    0.00000000
    34    0.00000000    0.00000000    0.60706424    0.00000000    0.00000000
    35    0.00000000    0.00000000    0.00000000    0.00000000    0.00000000
    36    0.00000388    0.00000000    0.00000000    0.54239865    0.00000000
            26            27            28            29            30      
     1    0.00000005    0.00000000    0.00000000    0.00000000    0.00000000
     2    0.00000000    0.00000048    0.00000000    0.00000000    0.00000000
